# alloy_current.csv run at 2013-01-01 00:00:00 PST on 292 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
TX_225912E_A,0.225624,-0.019669,0.000000,0.000000,0.000000,0.000000
TX_225912E_B,0.000000,0.000000,-0.138163,-0.181938,0.000000,0.000000
TX_225912E_C,0.000000,0.000000,0.000000,0.000000,-0.086701,0.201604
TX_804328E_A,0.225631,-0.019867,0.000000,0.000000,0.000000,0.000000
TX_804328E_B,0.000000,0.000000,-0.138346,-0.181836,0.000000,0.000000
TX_804328E_C,0.000000,0.000000,0.000000,0.000000,-0.086540,0.201697
TX_678131E_A,0.225606,-0.019501,0.000000,0.000000,0.000000,0.000000
TX_678132E_A,0.225606,-0.019501,0.000000,0.000000,0.000000,0.000000
TX_4510825E_A,0.225896,-0.018935,0.000000,0.000000,0.000000,0.000000
TX_P5354648_A,0.225618,-0.019573,0.000000,0.000000,0.000000,0.000000
TX_P5354648_B,0.000000,0.000000,-0.138077,-0.181985,0.000000,0.000000
TX_P5354648_C,0.000000,0.000000,0.000000,0.000000,-0.086775,0.201558
TX_P5502416_A,0.676822,-0.058555,0.000000,0.000000,0.000000,0.000000
TX_P5502416_B,0.000000,0.000000,-0.414090,-0.546019,0.000000,0.000000
TX_P5502416_C,0.000000,0.000000,0.000000,0.000000,-0.260427,0.604585
TX_P5445191_A,0.451225,-0.039002,0.000000,0.000000,0.000000,0.000000
TX_P5445191_B,0.000000,0.000000,-0.276022,-0.364039,0.000000,0.000000
TX_P5445191_C,0.000000,0.000000,0.000000,0.000000,-0.173660,0.403045
TX_1252662E_A,0.223423,-0.024658,0.000000,0.000000,0.000000,0.000000
TX_1252662E_B,0.000000,0.000000,-0.133862,-0.181679,0.000000,0.000000
TX_1252662E_C,0.000000,0.000000,0.000000,0.000000,-0.088126,0.204286
TX_754600H_A,0.225623,-0.019645,0.000000,0.000000,0.000000,0.000000
TX_754600H_B,0.000000,0.000000,-0.138142,-0.181950,0.000000,0.000000
TX_754600H_C,0.000000,0.000000,0.000000,0.000000,-0.086719,0.201593
TX_211421E_A,0.225293,-0.020425,0.000000,0.000000,0.000000,0.000000
TX_211421E_B,0.000000,0.000000,-0.137502,-0.181909,0.000000,0.000000
TX_211421E_C,0.000000,0.000000,0.000000,0.000000,-0.086898,0.201988
TX_P5513970_A,0.675095,-0.062247,0.000000,0.000000,0.000000,0.000000
TX_P5513970_B,0.000000,0.000000,-0.410337,-0.546021,0.000000,0.000000
TX_P5513970_C,0.000000,0.000000,0.000000,0.000000,-0.271801,0.632140
TX_1088555E_A,0.224093,-0.023030,0.000000,0.000000,0.000000,0.000000
TX_1088555E_B,0.000000,0.000000,-0.135032,-0.181831,0.000000,0.000000
TX_1088555E_C,0.000000,0.000000,0.000000,0.000000,-0.087822,0.203413
TX_4417545E_A,0.225637,-0.019861,0.000000,0.000000,0.000000,0.000000
TX_4417545E_B,0.000000,0.000000,-0.138337,-0.181844,0.000000,0.000000
TX_4417545E_C,0.000000,0.000000,0.000000,0.000000,-0.086553,0.201697
TX_2320043E_A,0.224955,-0.020981,0.000000,0.000000,0.000000,0.000000
TX_2320043E_B,0.000000,0.000000,-0.136660,-0.181977,0.000000,0.000000
TX_2320043E_C,0.000000,0.000000,0.000000,0.000000,-0.087259,0.202276
TX_1252657E_A,0.223642,-0.024232,0.000000,0.000000,0.000000,0.000000
TX_1252657E_B,0.000000,0.000000,-0.134315,-0.181686,0.000000,0.000000
TX_1252657E_C,0.000000,0.000000,0.000000,0.000000,-0.087956,0.204053
TX_P5444393_A,1.129560,-0.095825,0.000000,0.000000,0.000000,0.000000
TX_P5444393_B,0.000000,0.000000,-0.694612,-0.909379,0.000000,0.000000
TX_P5444393_C,0.000000,0.000000,0.000000,0.000000,-0.431832,1.006696
TX_4636936E_A,0.225917,-0.019236,0.000000,0.000000,0.000000,0.000000
TX_4636936E_B,0.000000,0.000000,-0.138987,-0.181840,0.000000,0.000000
TX_4636936E_C,0.000000,0.000000,0.000000,0.000000,-0.086312,0.201373
TX_P5341496_A,0.451222,-0.038995,0.000000,0.000000,0.000000,0.000000
TX_P5341496_B,0.000000,0.000000,-0.276016,-0.364040,0.000000,0.000000
TX_P5341496_C,0.000000,0.000000,0.000000,0.000000,-0.173663,0.403042
TX_1838130E_A,0.225904,-0.019044,0.000000,0.000000,0.000000,0.000000
TX_1838130E_B,0.000000,0.000000,-0.138812,-0.181935,0.000000,0.000000
TX_1838130E_C,0.000000,0.000000,0.000000,0.000000,-0.086459,0.201281
TX_211024E_A,0.225613,-0.019501,0.000000,0.000000,0.000000,0.000000
TX_211024E_B,0.000000,0.000000,-0.138012,-0.182020,0.000000,0.000000
TX_211024E_C,0.000000,0.000000,0.000000,0.000000,-0.086830,0.201523
TX_678122E_A,0.225353,-0.020050,0.000000,0.000000,0.000000,0.000000
TX_1679350E_A,0.225887,-0.018856,0.000000,0.000000,0.000000,0.000000
TX_1679350E_B,0.000000,0.000000,-0.138641,-0.182025,0.000000,0.000000
TX_1679350E_C,0.000000,0.000000,0.000000,0.000000,-0.086601,0.201189
TX_P5510937_A,1.353771,-0.118540,0.000000,0.000000,0.000000,0.000000
TX_P5510937_B,0.000000,0.000000,-0.829473,-1.091364,0.000000,0.000000
TX_P5510937_C,0.000000,0.000000,0.000000,0.000000,-0.519776,1.209878
TX_211021E_A,0.225619,-0.019572,0.000000,0.000000,0.000000,0.000000
TX_211021E_B,0.000000,0.000000,-0.138077,-0.181986,0.000000,0.000000
TX_211021E_C,0.000000,0.000000,0.000000,0.000000,-0.086775,0.201558
TX_1088558E_A,0.224398,-0.022417,0.000000,0.000000,0.000000,0.000000
TX_1088558E_B,0.000000,0.000000,-0.135678,-0.181835,0.000000,0.000000
TX_1088558E_C,0.000000,0.000000,0.000000,0.000000,-0.087582,0.203086
TX_4431000E_A,0.225902,-0.019020,0.000000,0.000000,0.000000,0.000000
TX_4431000E_B,0.000000,0.000000,-0.138791,-0.181946,0.000000,0.000000
TX_4431000E_C,0.000000,0.000000,0.000000,0.000000,-0.086477,0.201269
TX_1590592E_A,0.225934,-0.019523,0.000000,0.000000,0.000000,0.000000
TX_1590592E_B,0.000000,0.000000,-0.139246,-0.181697,0.000000,0.000000
TX_1590592E_C,0.000000,0.000000,0.000000,0.000000,-0.086091,0.201509
TX_678135E_A,0.225619,-0.019657,0.000000,0.000000,0.000000,0.000000
TX_678135E_B,0.000000,0.000000,-0.138156,-0.181941,0.000000,0.000000
TX_678135E_C,0.000000,0.000000,0.000000,0.000000,-0.086703,0.201596
TX_1809759E_A,0.225619,-0.019655,0.000000,0.000000,0.000000,0.000000
TX_1809759E_B,0.000000,0.000000,-0.138154,-0.181941,0.000000,0.000000
TX_1809759E_C,0.000000,0.000000,0.000000,0.000000,-0.086705,0.201595
TX_225914E_A,0.225622,-0.019645,0.000000,0.000000,0.000000,0.000000
TX_225914E_B,0.000000,0.000000,-0.138140,-0.181949,0.000000,0.000000
TX_225914E_C,0.000000,0.000000,0.000000,0.000000,-0.086720,0.201592
TX_678120E_A,0.225353,-0.020050,0.000000,0.000000,0.000000,0.000000
TX_P5204066_A,0.450472,-0.040608,0.000000,0.000000,0.000000,0.000000
TX_P5204066_B,0.000000,0.000000,-0.274425,-0.364026,0.000000,0.000000
TX_P5204066_C,0.000000,0.000000,0.000000,0.000000,-0.174196,0.403859
TX_4094873E_A,0.225891,-0.018876,0.000000,0.000000,0.000000,0.000000
TX_4094873E_B,0.000000,0.000000,-0.138660,-0.182017,0.000000,0.000000
TX_4094873E_C,0.000000,0.000000,0.000000,0.000000,-0.086587,0.201200
TX_226772E_A,0.225625,-0.019716,0.000000,0.000000,0.000000,0.000000
TX_226772E_B,0.000000,0.000000,-0.138207,-0.181913,0.000000,0.000000
TX_226772E_C,0.000000,0.000000,0.000000,0.000000,-0.086662,0.201626
TX_211437E_00331$211437E_T_00331-1_A,0.225764,-0.020203,0.000000,0.000000,0.000000,0.000000
TX_211437E_00331$211437E_T_00331-1_B,0.000000,0.000000,-0.139072,-0.181567,0.000000,0.000000
TX_211437E_00331$211437E_T_00331-1_C,0.000000,0.000000,0.000000,0.000000,-0.086032,0.201855
TX_1088259E_A,0.225619,-0.019572,0.000000,0.000000,0.000000,0.000000
TX_1088259E_B,0.000000,0.000000,-0.138077,-0.181986,0.000000,0.000000
