# file...... alloy_scada.csv
# date...... Fri Aug 18 09:24:28 2017
# user...... alyona
# host...... (null)
# target.... meter 476
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+19261.5,-71684.4
2013-01-01 00:08:00 PST,+42249.2,-142556
2013-01-01 00:12:00 PST,+66571.6,-153814
2013-01-01 00:16:00 PST,+91808.6,-164859
2013-01-01 00:20:00 PST,+116708,-176002
2013-01-01 00:24:00 PST,+141495,-187174
2013-01-01 00:28:00 PST,+166875,-198199
2013-01-01 00:32:00 PST,+192870,-209066
2013-01-01 00:36:00 PST,+219243,-219833
2013-01-01 00:40:00 PST,+244855,-230800
2013-01-01 00:44:00 PST,+271477,-241499
2013-01-01 00:48:00 PST,+297121,-252456
2013-01-01 00:52:00 PST,+322706,-263428
2013-01-01 00:56:00 PST,+348669,-274303
2013-01-01 01:00:00 PST,+374955,-285097
2013-01-01 01:04:00 PST,+396185,-296225
2013-01-01 01:08:00 PST,+416246,-307649
2013-01-01 01:12:00 PST,+436715,-318967
2013-01-01 01:16:00 PST,+457344,-330242
2013-01-01 01:20:00 PST,+477376,-341671
2013-01-01 01:24:00 PST,+498225,-352893
2013-01-01 01:28:00 PST,+519178,-364091
2013-01-01 01:32:00 PST,+539778,-375378
2013-01-01 01:36:00 PST,+560219,-386706
2013-01-01 01:40:00 PST,+580851,-397983
2013-01-01 01:44:00 PST,+601861,-409168
2013-01-01 01:48:00 PST,+622461,-420453
2013-01-01 01:52:00 PST,+644042,-431485
2013-01-01 01:56:00 PST,+666003,-442419
2013-01-01 02:00:00 PST,+686882,-453630
2013-01-01 02:04:00 PST,+704812,-465143
2013-01-01 02:08:00 PST,+724379,-476231
2013-01-01 02:12:00 PST,+743128,-487534
2013-01-01 02:16:00 PST,+762358,-498713
2013-01-01 02:20:00 PST,+781078,-510022
2013-01-01 02:24:00 PST,+799140,-521500
2013-01-01 02:28:00 PST,+818910,-532545
2013-01-01 02:32:00 PST,+837849,-543797
2013-01-01 02:36:00 PST,+856408,-555145
2013-01-01 02:40:00 PST,+874717,-566558
2013-01-01 02:44:00 PST,+893304,-577901
2013-01-01 02:48:00 PST,+912184,-589166
2013-01-01 02:52:00 PST,+930655,-600536
2013-01-01 02:56:00 PST,+950103,-611661
2013-01-01 03:00:00 PST,+969554,-622782
2013-01-01 03:04:00 PST,+987867,-634052
2013-01-01 03:08:00 PST,+1.00596e+06,-645375
2013-01-01 03:12:00 PST,+1.02414e+06,-656672
2013-01-01 03:16:00 PST,+1.04189e+06,-668083
2013-01-01 03:20:00 PST,+1.06004e+06,-679386
2013-01-01 03:24:00 PST,+1.07775e+06,-690805
2013-01-01 03:28:00 PST,+1.09531e+06,-702266
2013-01-01 03:32:00 PST,+1.11365e+06,-713523
2013-01-01 03:36:00 PST,+1.13316e+06,-724486
2013-01-01 03:40:00 PST,+1.15052e+06,-735993
2013-01-01 03:44:00 PST,+1.16906e+06,-747200
2013-01-01 03:48:00 PST,+1.18809e+06,-758282
2013-01-01 03:52:00 PST,+1.20744e+06,-769280
2013-01-01 03:56:00 PST,+1.22654e+06,-780346
2013-01-01 04:00:00 PST,+1.24426e+06,-791759
2013-01-01 04:04:00 PST,+1.26464e+06,-802935
2013-01-01 04:08:00 PST,+1.28469e+06,-814207
2013-01-01 04:12:00 PST,+1.30618e+06,-825110
2013-01-01 04:16:00 PST,+1.32653e+06,-836303
2013-01-01 04:20:00 PST,+1.34667e+06,-847551
2013-01-01 04:24:00 PST,+1.36857e+06,-858342
2013-01-01 04:28:00 PST,+1.39096e+06,-869014
2013-01-01 04:32:00 PST,+1.41169e+06,-880103
2013-01-01 04:36:00 PST,+1.43319e+06,-891002
2013-01-01 04:40:00 PST,+1.45392e+06,-902088
2013-01-01 04:44:00 PST,+1.47469e+06,-913173
2013-01-01 04:48:00 PST,+1.4946e+06,-924480
2013-01-01 04:52:00 PST,+1.51556e+06,-935518
2013-01-01 04:56:00 PST,+1.53601e+06,-946681
2013-01-01 05:00:00 PST,+1.55773e+06,-957526
2013-01-01 05:04:00 PST,+1.58999e+06,-968011
2013-01-01 05:08:00 PST,+1.62725e+06,-977208
2013-01-01 05:12:00 PST,+1.66058e+06,-987408
2013-01-01 05:16:00 PST,+1.6964e+06,-996970
2013-01-01 05:20:00 PST,+1.73182e+06,-1.00662e+06
2013-01-01 05:24:00 PST,+1.76601e+06,-1.01661e+06
2013-01-01 05:28:00 PST,+1.80099e+06,-1.0264e+06
2013-01-01 05:32:00 PST,+1.83597e+06,-1.03618e+06
2013-01-01 05:36:00 PST,+1.86841e+06,-1.04661e+06
2013-01-01 05:40:00 PST,+1.9022e+06,-1.0567e+06
2013-01-01 05:44:00 PST,+1.9361e+06,-1.06676e+06
2013-01-01 05:48:00 PST,+1.97038e+06,-1.07673e+06
2013-01-01 05:52:00 PST,+2.00441e+06,-1.08675e+06
2013-01-01 05:56:00 PST,+2.03977e+06,-1.09643e+06
2013-01-01 06:00:00 PST,+2.07327e+06,-1.10659e+06
2013-01-01 06:04:00 PST,+2.13614e+06,-1.11499e+06
2013-01-01 06:08:00 PST,+2.20796e+06,-1.12103e+06
2013-01-01 06:12:00 PST,+2.28518e+06,-1.12565e+06
2013-01-01 06:16:00 PST,+2.35231e+06,-1.13292e+06
2013-01-01 06:20:00 PST,+2.41719e+06,-1.14078e+06
2013-01-01 06:24:00 PST,+2.48064e+06,-1.14904e+06
2013-01-01 06:28:00 PST,+2.5462e+06,-1.15672e+06
2013-01-01 06:32:00 PST,+2.61444e+06,-1.16371e+06
2013-01-01 06:36:00 PST,+2.68698e+06,-1.16956e+06
2013-01-01 06:40:00 PST,+2.75704e+06,-1.17605e+06
2013-01-01 06:44:00 PST,+2.82176e+06,-1.18395e+06
2013-01-01 06:48:00 PST,+2.88701e+06,-1.19174e+06
2013-01-01 06:52:00 PST,+2.95363e+06,-1.19916e+06
2013-01-01 06:56:00 PST,+3.02341e+06,-1.20573e+06
2013-01-01 07:00:00 PST,+3.09202e+06,-1.2126e+06
2013-01-01 07:04:00 PST,+3.18911e+06,-1.21873e+06
2013-01-01 07:08:00 PST,+3.29118e+06,-1.22351e+06
2013-01-01 07:12:00 PST,+3.39823e+06,-1.22697e+06
2013-01-01 07:16:00 PST,+3.50434e+06,-1.23067e+06
2013-01-01 07:20:00 PST,+3.60435e+06,-1.236e+06
2013-01-01 07:24:00 PST,+3.70364e+06,-1.24155e+06
2013-01-01 07:28:00 PST,+3.80717e+06,-1.24593e+06
2013-01-01 07:32:00 PST,+3.91316e+06,-1.24966e+06
2013-01-01 07:36:00 PST,+4.01857e+06,-1.25356e+06
2013-01-01 07:40:00 PST,+4.12003e+06,-1.25853e+06
2013-01-01 07:44:00 PST,+4.22122e+06,-1.26356e+06
2013-01-01 07:48:00 PST,+4.32671e+06,-1.26741e+06
2013-01-01 07:52:00 PST,+4.43363e+06,-1.27088e+06
2013-01-01 07:56:00 PST,+4.53764e+06,-1.27515e+06
2013-01-01 08:00:00 PST,+4.63722e+06,-1.28063e+06
2013-01-01 08:04:00 PST,+4.73511e+06,-1.28537e+06
2013-01-01 08:08:00 PST,+4.83652e+06,-1.28912e+06
2013-01-01 08:12:00 PST,+4.93653e+06,-1.29328e+06
2013-01-01 08:16:00 PST,+5.03379e+06,-1.2982e+06
2013-01-01 08:20:00 PST,+5.12741e+06,-1.30407e+06
2013-01-01 08:24:00 PST,+5.22297e+06,-1.30943e+06
2013-01-01 08:28:00 PST,+5.32339e+06,-1.31345e+06
2013-01-01 08:32:00 PST,+5.42435e+06,-1.31735e+06
2013-01-01 08:36:00 PST,+5.52139e+06,-1.32233e+06
2013-01-01 08:40:00 PST,+5.61719e+06,-1.32763e+06
2013-01-01 08:44:00 PST,+5.71253e+06,-1.33305e+06
2013-01-01 08:48:00 PST,+5.81032e+06,-1.3378e+06
2013-01-01 08:52:00 PST,+5.91144e+06,-1.34164e+06
2013-01-01 08:56:00 PST,+6.01103e+06,-1.34591e+06
2013-01-01 09:00:00 PST,+6.10695e+06,-1.35119e+06
2013-01-01 09:04:00 PST,+6.19434e+06,-1.35673e+06
2013-01-01 09:08:00 PST,+6.28271e+06,-1.36199e+06
2013-01-01 09:12:00 PST,+6.37196e+06,-1.36701e+06
2013-01-01 09:16:00 PST,+6.46171e+06,-1.3719e+06
2013-01-01 09:20:00 PST,+6.55267e+06,-1.3765e+06
2013-01-01 09:24:00 PST,+6.64318e+06,-1.38121e+06
2013-01-01 09:28:00 PST,+6.73079e+06,-1.38668e+06
2013-01-01 09:32:00 PST,+6.81637e+06,-1.3927e+06
2013-01-01 09:36:00 PST,+6.90461e+06,-1.398e+06
2013-01-01 09:40:00 PST,+6.9968e+06,-1.40223e+06
2013-01-01 09:44:00 PST,+7.08948e+06,-1.40635e+06
2013-01-01 09:48:00 PST,+7.17871e+06,-1.41141e+06
2013-01-01 09:52:00 PST,+7.26385e+06,-1.41755e+06
2013-01-01 09:56:00 PST,+7.3494e+06,-1.42359e+06
2013-01-01 10:00:00 PST,+7.44008e+06,-1.42822e+06
2013-01-01 10:04:00 PST,+7.52792e+06,-1.43207e+06
2013-01-01 10:08:00 PST,+7.61293e+06,-1.43673e+06
2013-01-01 10:12:00 PST,+7.69335e+06,-1.4426e+06
2013-01-01 10:16:00 PST,+7.77162e+06,-1.44904e+06
2013-01-01 10:20:00 PST,+7.85254e+06,-1.45475e+06
2013-01-01 10:24:00 PST,+7.93323e+06,-1.46052e+06
2013-01-01 10:28:00 PST,+8.01674e+06,-1.46555e+06
2013-01-01 10:32:00 PST,+8.10133e+06,-1.47028e+06
