# alloy_voltage.csv run at 2013-01-01 00:00:00 PST on 470 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
load_1_A,123.824667,0.020753,123.820915,0.020708,0.000000,0.000000
load_2_B,122.711371,4.170491,122.707585,4.170445,0.000000,0.000000
load_3_C,127.962101,2.085100,127.958469,2.085058,0.000000,0.000000
load_4_A,123.812329,0.019905,123.805573,0.019825,0.000000,0.000000
load_5_B,122.696444,4.169604,122.689628,4.169522,0.000000,0.000000
load_6_C,127.950034,2.084279,127.943495,2.084204,0.000000,0.000000
load_7_A,123.841709,0.021469,123.840686,0.021457,0.000000,0.000000
load_8_A,123.841632,0.021467,123.840609,0.021455,0.000000,0.000000
load_9_A,123.705101,0.024056,123.703052,0.024032,0.000000,0.000000
load_10_A,123.831983,0.021164,123.829732,0.021137,0.000000,0.000000
load_11_B,122.718560,4.170907,122.716289,4.170880,0.000000,0.000000
load_12_C,127.969146,2.085483,127.966967,2.085458,0.000000,0.000000
load_13_A,123.840093,0.021395,123.838804,0.021379,0.000000,0.000000
load_14_B,122.724419,4.171121,122.723119,4.171105,0.000000,0.000000
load_15_C,127.977090,2.085676,127.975842,2.085662,0.000000,0.000000
load_16_A,123.838093,0.021472,123.836967,0.021458,0.000000,0.000000
load_17_B,122.724715,4.171220,122.723580,4.171207,0.000000,0.000000
load_18_C,127.975083,2.085772,127.973993,2.085759,0.000000,0.000000
load_19_A,124.805072,-0.002057,124.793901,-0.002189,0.000000,0.000000
load_20_B,124.292409,4.185197,124.281192,4.185064,0.000000,0.000000
load_21_C,126.148328,2.086073,126.137274,2.085944,0.000000,0.000000
load_22_A,123.826358,0.020856,123.822981,0.020816,0.000000,0.000000
load_23_B,122.712889,4.170594,122.709482,4.170553,0.000000,0.000000
load_24_C,127.963680,2.085194,127.960411,2.085157,0.000000,0.000000
load_25_A,123.974711,0.017319,123.970214,0.017265,0.000000,0.000000
load_26_B,122.947930,4.172753,122.943395,4.172698,0.000000,0.000000
load_27_C,127.700712,2.085210,127.696344,2.085159,0.000000,0.000000
load_28_A,124.104950,0.015777,124.103664,0.015762,0.000000,0.000000
load_29_B,123.147201,4.175545,123.145904,4.175530,0.000000,0.000000
load_30_C,127.520821,2.086303,127.519569,2.086289,0.000000,0.000000
