# file...... alloy_scada.csv
# date...... Fri Aug 11 19:04:59 2017
# user...... ec2-user
# host...... (null)
# target.... meter 1010
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+43452.4,-291254
2013-01-01 00:08:00 PST,+94729.2,-580609
2013-01-01 00:12:00 PST,+145073,-573727
2013-01-01 00:16:00 PST,+196250,-566661
2013-01-01 00:20:00 PST,+249289,-559140
2013-01-01 00:24:00 PST,+302891,-551485
2013-01-01 00:28:00 PST,+355554,-544075
2013-01-01 00:32:00 PST,+409655,-536287
2013-01-01 00:36:00 PST,+464197,-528389
2013-01-01 00:40:00 PST,+518346,-520594
2013-01-01 00:44:00 PST,+571760,-512993
2013-01-01 00:48:00 PST,+625309,-505353
2013-01-01 00:52:00 PST,+680396,-497307
2013-01-01 00:56:00 PST,+734556,-489511
2013-01-01 01:00:00 PST,+788556,-481753
2013-01-01 01:04:00 PST,+833012,-474491
2013-01-01 01:08:00 PST,+875728,-467678
2013-01-01 01:12:00 PST,+918549,-460836
2013-01-01 01:16:00 PST,+960664,-454178
2013-01-01 01:20:00 PST,+1.00362e+06,-447300
2013-01-01 01:24:00 PST,+1.04666e+06,-440403
2013-01-01 01:28:00 PST,+1.08877e+06,-433745
2013-01-01 01:32:00 PST,+1.13165e+06,-426890
2013-01-01 01:36:00 PST,+1.17541e+06,-419799
2013-01-01 01:40:00 PST,+1.22057e+06,-412354
2013-01-01 01:44:00 PST,+1.26443e+06,-405241
2013-01-01 01:48:00 PST,+1.30765e+06,-398295
2013-01-01 01:52:00 PST,+1.35151e+06,-391183
2013-01-01 01:56:00 PST,+1.39513e+06,-384136
2013-01-01 02:00:00 PST,+1.43874e+06,-377089
2013-01-01 02:04:00 PST,+1.4765e+06,-370603
2013-01-01 02:08:00 PST,+1.51492e+06,-363950
2013-01-01 02:12:00 PST,+1.55402e+06,-357117
2013-01-01 02:16:00 PST,+1.59412e+06,-350031
2013-01-01 02:20:00 PST,+1.6342e+06,-342943
2013-01-01 02:24:00 PST,+1.67275e+06,-336256
2013-01-01 02:28:00 PST,+1.71171e+06,-329464
2013-01-01 02:32:00 PST,+1.75032e+06,-322759
2013-01-01 02:36:00 PST,+1.7897e+06,-315856
2013-01-01 02:40:00 PST,+1.82957e+06,-308824
2013-01-01 02:44:00 PST,+1.86753e+06,-302291
2013-01-01 02:48:00 PST,+1.90733e+06,-295277
2013-01-01 02:52:00 PST,+1.94721e+06,-288241
2013-01-01 02:56:00 PST,+1.98831e+06,-280894
2013-01-01 03:00:00 PST,+2.02918e+06,-273603
2013-01-01 03:04:00 PST,+2.06593e+06,-267077
2013-01-01 03:08:00 PST,+2.10368e+06,-260288
2013-01-01 03:12:00 PST,+2.14128e+06,-253539
2013-01-01 03:16:00 PST,+2.17809e+06,-246995
2013-01-01 03:20:00 PST,+2.21538e+06,-240325
2013-01-01 03:24:00 PST,+2.25222e+06,-233773
2013-01-01 03:28:00 PST,+2.29107e+06,-226693
2013-01-01 03:32:00 PST,+2.33044e+06,-219483
2013-01-01 03:36:00 PST,+2.36868e+06,-212567
2013-01-01 03:40:00 PST,+2.40801e+06,-205371
2013-01-01 03:44:00 PST,+2.44678e+06,-198314
2013-01-01 03:48:00 PST,+2.48426e+06,-191598
2013-01-01 03:52:00 PST,+2.52142e+06,-184965
2013-01-01 03:56:00 PST,+2.5576e+06,-178582
2013-01-01 04:00:00 PST,+2.59516e+06,-171839
2013-01-01 04:04:00 PST,+2.6374e+06,-164818
2013-01-01 04:08:00 PST,+2.67973e+06,-157774
2013-01-01 04:12:00 PST,+2.72472e+06,-150035
2013-01-01 04:16:00 PST,+2.76871e+06,-142558
2013-01-01 04:20:00 PST,+2.81693e+06,-133974
2013-01-01 04:24:00 PST,+2.861e+06,-126477
2013-01-01 04:28:00 PST,+2.90539e+06,-118896
2013-01-01 04:32:00 PST,+2.94826e+06,-111708
2013-01-01 04:36:00 PST,+2.99056e+06,-104672
2013-01-01 04:40:00 PST,+3.03381e+06,-97384.7
2013-01-01 04:44:00 PST,+3.0761e+06,-90347.2
2013-01-01 04:48:00 PST,+3.1202e+06,-82837.2
2013-01-01 04:52:00 PST,+3.16411e+06,-75383.1
2013-01-01 04:56:00 PST,+3.2097e+06,-67492.1
2013-01-01 05:00:00 PST,+3.25532e+06,-59585.5
2013-01-01 05:04:00 PST,+3.32584e+06,-50018.2
2013-01-01 05:08:00 PST,+3.39951e+06,-39614.5
2013-01-01 05:12:00 PST,+3.47397e+06,-29006.8
2013-01-01 05:16:00 PST,+3.54596e+06,-19047.1
2013-01-01 05:20:00 PST,+3.61928e+06,-8748.13
2013-01-01 05:24:00 PST,+3.69546e+06,+2310.4
2013-01-01 05:28:00 PST,+3.76764e+06,+12306.2
2013-01-01 05:32:00 PST,+3.83936e+06,+22201.6
2013-01-01 05:36:00 PST,+3.91081e+06,+32009.2
2013-01-01 05:40:00 PST,+3.9807e+06,+41402.3
2013-01-01 05:44:00 PST,+4.05415e+06,+51733.8
2013-01-01 05:48:00 PST,+4.12807e+06,+62193.9
2013-01-01 05:52:00 PST,+4.20032e+06,+72197.4
2013-01-01 05:56:00 PST,+4.27275e+06,+82256.5
2013-01-01 06:00:00 PST,+4.34504e+06,+92308.8
2013-01-01 06:04:00 PST,+4.4762e+06,+106155
2013-01-01 06:08:00 PST,+4.63017e+06,+126435
2013-01-01 06:12:00 PST,+4.78976e+06,+62630.9
2013-01-01 06:16:00 PST,+4.93588e+06,-5223.88
2013-01-01 06:20:00 PST,+5.07615e+06,-74830
2013-01-01 06:24:00 PST,+5.21482e+06,-145046
2013-01-01 06:28:00 PST,+5.35514e+06,-214859
2013-01-01 06:32:00 PST,+5.50559e+06,-281417
2013-01-01 06:36:00 PST,+5.65765e+06,-347420
2013-01-01 06:40:00 PST,+5.80167e+06,-415912
2013-01-01 06:44:00 PST,+5.94203e+06,-485598
2013-01-01 06:48:00 PST,+6.08571e+06,-554164
2013-01-01 06:52:00 PST,+6.23082e+06,-622345
2013-01-01 06:56:00 PST,+6.37676e+06,-690352
2013-01-01 07:00:00 PST,+6.52407e+06,-757953
2013-01-01 07:04:00 PST,+6.73721e+06,-819179
2013-01-01 07:08:00 PST,+6.95902e+06,-877632
2013-01-01 07:12:00 PST,+7.18603e+06,-934448
2013-01-01 07:16:00 PST,+7.40724e+06,-993156
2013-01-01 07:20:00 PST,+7.62089e+06,-1.05435e+06
2013-01-01 07:24:00 PST,+7.83949e+06,-1.11382e+06
2013-01-01 07:28:00 PST,+8.06581e+06,-1.1708e+06
2013-01-01 07:32:00 PST,+8.28833e+06,-1.22912e+06
2013-01-01 07:36:00 PST,+8.50857e+06,-1.28818e+06
2013-01-01 07:40:00 PST,+8.72887e+06,-1.3471e+06
2013-01-01 07:44:00 PST,+8.95319e+06,-1.4047e+06
2013-01-01 07:48:00 PST,+9.17724e+06,-1.46259e+06
2013-01-01 07:52:00 PST,+9.39841e+06,-1.52133e+06
2013-01-01 07:56:00 PST,+9.62226e+06,-1.57902e+06
2013-01-01 08:00:00 PST,+9.84565e+06,-1.63697e+06
2013-01-01 08:04:00 PST,+1.00576e+07,-1.69619e+06
2013-01-01 08:08:00 PST,+1.0265e+07,-1.75687e+06
2013-01-01 08:12:00 PST,+1.04755e+07,-1.81648e+06
2013-01-01 08:16:00 PST,+1.06875e+07,-1.87551e+06
2013-01-01 08:20:00 PST,+1.08948e+07,-1.9362e+06
2013-01-01 08:24:00 PST,+1.11008e+07,-1.99735e+06
2013-01-01 08:28:00 PST,+1.13089e+07,-2.05774e+06
2013-01-01 08:32:00 PST,+1.15229e+07,-2.11617e+06
2013-01-01 08:36:00 PST,+1.17376e+07,-2.1744e+06
2013-01-01 08:40:00 PST,+1.19445e+07,-2.23521e+06
2013-01-01 08:44:00 PST,+1.21465e+07,-2.29757e+06
2013-01-01 08:48:00 PST,+1.23579e+07,-2.35698e+06
2013-01-01 08:52:00 PST,+1.25737e+07,-2.41486e+06
2013-01-01 08:56:00 PST,+1.27861e+07,-2.47384e+06
2013-01-01 09:00:00 PST,+1.29923e+07,-2.5349e+06
2013-01-01 09:04:00 PST,+1.31786e+07,-2.598e+06
2013-01-01 09:08:00 PST,+1.33701e+07,-2.65942e+06
2013-01-01 09:12:00 PST,+1.35625e+07,-2.72055e+06
2013-01-01 09:16:00 PST,+1.37545e+07,-2.78181e+06
2013-01-01 09:20:00 PST,+1.39483e+07,-2.84257e+06
2013-01-01 09:24:00 PST,+1.41382e+07,-2.90443e+06
2013-01-01 09:28:00 PST,+1.43273e+07,-2.96667e+06
2013-01-01 09:32:00 PST,+1.45168e+07,-3.02876e+06
2013-01-01 09:36:00 PST,+1.47094e+07,-3.08982e+06
2013-01-01 09:40:00 PST,+1.49018e+07,-3.15104e+06
2013-01-01 09:44:00 PST,+1.50948e+07,-3.21192e+06
2013-01-01 09:48:00 PST,+1.52859e+07,-3.27341e+06
2013-01-01 09:52:00 PST,+1.54719e+07,-3.33668e+06
2013-01-01 09:56:00 PST,+1.56648e+07,-3.39769e+06
2013-01-01 10:00:00 PST,+1.58577e+07,-3.45871e+06
2013-01-01 10:04:00 PST,+1.60358e+07,-3.52108e+06
2013-01-01 10:08:00 PST,+1.62171e+07,-3.58245e+06
2013-01-01 10:12:00 PST,+1.63933e+07,-3.64543e+06
2013-01-01 10:16:00 PST,+1.65676e+07,-3.70905e+06
