# aluminum_current.csv run at 2013-01-01 00:00:00 PST on 1102 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
TX_B5300937_A,0.218081,-0.027130,0.000000,0.000000,0.000000,0.000000
TX_B5072195_A,0.219285,-0.026403,0.000000,0.000000,0.000000,0.000000
TX_P5073685_A,0.217881,-0.027149,0.000000,0.000000,0.000000,0.000000
TX_B5079142_A,0.217895,-0.027214,0.000000,0.000000,0.000000,0.000000
TX_B5076589_A,0.218906,-0.026669,0.000000,0.000000,0.000000,0.000000
TX_B5300945_A,0.218081,-0.027130,0.000000,0.000000,0.000000,0.000000
TX_S5071781_A,0.438964,-0.052494,0.000000,0.000000,0.000000,0.000000
TX_S5071781_B,0.000000,0.000000,-0.264308,-0.355120,0.000000,0.000000
TX_S5071781_C,0.000000,0.000000,0.000000,0.000000,-0.171971,0.403934
TX_4086096E_A,0.217959,-0.027548,0.000000,0.000000,0.000000,0.000000
TX_4086096E_B,0.000000,0.000000,-0.133170,-0.175959,0.000000,0.000000
TX_4086096E_C,0.000000,0.000000,0.000000,0.000000,-0.082698,0.201248
TX_B5074332_A,0.217882,-0.027149,0.000000,0.000000,0.000000,0.000000
TX_B5300936_A,0.218081,-0.027130,0.000000,0.000000,0.000000,0.000000
TX_B5074335_A,0.217881,-0.027148,0.000000,0.000000,0.000000,0.000000
TX_B5598129_A,0.217880,-0.027202,0.000000,0.000000,0.000000,0.000000
TX_B5546266_A,0.218943,-0.026680,0.000000,0.000000,0.000000,0.000000
TX_B5076592_A,0.219287,-0.026403,0.000000,0.000000,0.000000,0.000000
TX_P5074473_A,0.435755,-0.054286,0.000000,0.000000,0.000000,0.000000
TX_B5079823_A,0.218906,-0.026686,0.000000,0.000000,0.000000,0.000000
TX_P5363742_A,0.217896,-0.027226,0.000000,0.000000,0.000000,0.000000
TX_P5363742_B,0.000000,0.000000,-0.132507,-0.176149,0.000000,0.000000
TX_P5363742_C,0.000000,0.000000,0.000000,0.000000,-0.083329,0.201098
TX_V5421056T3_A,0.219299,-0.026433,0.000000,0.000000,0.000000,0.000000
TX_V5421056T3_B,0.000000,0.000000,-0.132234,-0.177328,0.000000,0.000000
TX_V5421056T3_C,0.000000,0.000000,0.000000,0.000000,-0.085606,0.201839
TX_B5077950_A,0.218914,-0.026676,0.000000,0.000000,0.000000,0.000000
TX_P5074772_A,0.219298,-0.026439,0.000000,0.000000,0.000000,0.000000
TX_P5074772_B,0.000000,0.000000,-0.132238,-0.177324,0.000000,0.000000
TX_P5074772_C,0.000000,0.000000,0.000000,0.000000,-0.085601,0.201842
TX_B5077955_A,0.218916,-0.026692,0.000000,0.000000,0.000000,0.000000
TX_B5074330_A,0.217882,-0.027149,0.000000,0.000000,0.000000,0.000000
TX_P5073684_A,0.217881,-0.027149,0.000000,0.000000,0.000000,0.000000
TX_B5072173_A,0.219297,-0.026418,0.000000,0.000000,0.000000,0.000000
TX_B5072169_A,0.219297,-0.026417,0.000000,0.000000,0.000000,0.000000
TX_B5076584_A,0.218906,-0.026684,0.000000,0.000000,0.000000,0.000000
TX_P5073042_A,0.217885,-0.027286,0.000000,0.000000,0.000000,0.000000
TX_P5073042_B,0.000000,0.000000,-0.132558,-0.176136,0.000000,0.000000
TX_P5073042_C,0.000000,0.000000,0.000000,0.000000,-0.083215,0.201129
TX_P5075988_A,0.219483,-0.026247,0.000000,0.000000,0.000000,0.000000
TX_P5075988_B,0.000000,0.000000,-0.149277,-0.199010,0.000000,0.000000
TX_P5075988_C,0.000000,0.000000,0.000000,0.000000,-0.085986,0.201968
TX_B5072679_A,0.219297,-0.026419,0.000000,0.000000,0.000000,0.000000
TX_B5075885_A,0.218908,-0.026692,0.000000,0.000000,0.000000,0.000000
TX_V5075701T1_A,0.219288,-0.026555,0.000000,0.000000,0.000000,0.000000
TX_V5075701T1_B,0.000000,0.000000,-0.132336,-0.177260,0.000000,0.000000
TX_V5075701T1_C,0.000000,0.000000,0.000000,0.000000,-0.085497,0.201894
TX_B5072181_A,0.219286,-0.026404,0.000000,0.000000,0.000000,0.000000
TX_B5078582_A,0.218905,-0.026670,0.000000,0.000000,0.000000,0.000000
TX_P5598128_A,0.218915,-0.026747,0.000000,0.000000,0.000000,0.000000
TX_B5076610_A,0.219287,-0.026403,0.000000,0.000000,0.000000,0.000000
TX_B5078586_A,0.218906,-0.026672,0.000000,0.000000,0.000000,0.000000
TX_BS0810-LT_A,0.218908,-0.026756,0.000000,0.000000,0.000000,0.000000
TX_BS0810-LT_B,0.000000,0.000000,-0.132364,-0.176900,0.000000,0.000000
TX_BS0810-LT_C,0.000000,0.000000,0.000000,0.000000,-0.084907,0.201617
TX_B5076585_A,0.218905,-0.026668,0.000000,0.000000,0.000000,0.000000
TX_B5077947_A,0.218913,-0.026688,0.000000,0.000000,0.000000,0.000000
TX_B5078595_A,0.218906,-0.026669,0.000000,0.000000,0.000000,0.000000
TX_B5074329_A,0.217881,-0.027133,0.000000,0.000000,0.000000,0.000000
TX_P5074223_A,0.217878,-0.027127,0.000000,0.000000,0.000000,0.000000
