# file...... aluminum_scada.csv
# date...... Fri Aug 18 09:44:23 2017
# user...... alyona
# host...... (null)
# target.... meter 1010
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+43488.5,-291246
2013-01-01 00:08:00 PST,+94463.8,-580706
2013-01-01 00:12:00 PST,+145061,-573753
2013-01-01 00:16:00 PST,+197282,-566429
2013-01-01 00:20:00 PST,+249461,-559139
2013-01-01 00:24:00 PST,+302043,-551745
2013-01-01 00:28:00 PST,+354764,-544321
2013-01-01 00:32:00 PST,+408124,-536727
2013-01-01 00:36:00 PST,+462080,-528981
2013-01-01 00:40:00 PST,+516229,-521184
2013-01-01 00:44:00 PST,+570023,-513484
2013-01-01 00:48:00 PST,+624653,-505562
2013-01-01 00:52:00 PST,+678814,-497763
2013-01-01 00:56:00 PST,+732371,-490123
2013-01-01 01:00:00 PST,+786667,-482287
2013-01-01 01:04:00 PST,+830470,-475187
2013-01-01 01:08:00 PST,+871985,-468686
2013-01-01 01:12:00 PST,+914674,-461880
2013-01-01 01:16:00 PST,+957303,-455087
2013-01-01 01:20:00 PST,+999389,-448438
2013-01-01 01:24:00 PST,+1.04224e+06,-441589
2013-01-01 01:28:00 PST,+1.08655e+06,-434355
2013-01-01 01:32:00 PST,+1.12994e+06,-427366
2013-01-01 01:36:00 PST,+1.17222e+06,-420668
2013-01-01 01:40:00 PST,+1.21526e+06,-413770
2013-01-01 01:44:00 PST,+1.25969e+06,-406501
2013-01-01 01:48:00 PST,+1.30331e+06,-399453
2013-01-01 01:52:00 PST,+1.34713e+06,-392349
2013-01-01 01:56:00 PST,+1.39205e+06,-384960
2013-01-01 02:00:00 PST,+1.43572e+06,-377886
2013-01-01 02:04:00 PST,+1.47485e+06,-371042
2013-01-01 02:08:00 PST,+1.51403e+06,-364190
2013-01-01 02:12:00 PST,+1.55343e+06,-357286
2013-01-01 02:16:00 PST,+1.59335e+06,-350244
