# file...... alloy_scada.csv
# date...... Mon Aug 14 22:02:56 2017
# user...... ec2-user
# host...... (null)
# target.... meter 954
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+38039.5,-200335
2013-01-01 00:08:00 PST,+83399.7,-399036
2013-01-01 00:12:00 PST,+131727,-494233
2013-01-01 00:16:00 PST,+180842,-589266
2013-01-01 00:20:00 PST,+231396,-640397
2013-01-01 00:24:00 PST,+282469,-691414
2013-01-01 00:28:00 PST,+332772,-742623
2013-01-01 00:32:00 PST,+384509,-793456
2013-01-01 00:36:00 PST,+436879,-844138
2013-01-01 00:40:00 PST,+488663,-894972
2013-01-01 00:44:00 PST,+539905,-945944
2013-01-01 00:48:00 PST,+591092,-996923
2013-01-01 00:52:00 PST,+643813,-1.0475e+06
2013-01-01 00:56:00 PST,+695421,-1.09838e+06
2013-01-01 01:00:00 PST,+747251,-1.1492e+06
2013-01-01 01:04:00 PST,+789935,-1.2005e+06
2013-01-01 01:08:00 PST,+830879,-1.25225e+06
2013-01-01 01:12:00 PST,+871735,-1.30403e+06
2013-01-01 01:16:00 PST,+912046,-1.35594e+06
2013-01-01 01:20:00 PST,+953223,-1.40763e+06
2013-01-01 01:24:00 PST,+994298,-1.45935e+06
2013-01-01 01:28:00 PST,+1.03464e+06,-1.51126e+06
2013-01-01 01:32:00 PST,+1.07556e+06,-1.56302e+06
2013-01-01 01:36:00 PST,+1.11755e+06,-1.61449e+06
2013-01-01 01:40:00 PST,+1.16074e+06,-1.66565e+06
2013-01-01 01:44:00 PST,+1.20282e+06,-1.71711e+06
2013-01-01 01:48:00 PST,+1.24467e+06,-1.76862e+06
2013-01-01 01:52:00 PST,+1.28694e+06,-1.82002e+06
2013-01-01 01:56:00 PST,+1.32897e+06,-1.87148e+06
2013-01-01 02:00:00 PST,+1.3704e+06,-1.9231e+06
2013-01-01 02:04:00 PST,+1.40684e+06,-1.97512e+06
2013-01-01 02:08:00 PST,+1.44353e+06,-2.02706e+06
2013-01-01 02:12:00 PST,+1.4807e+06,-2.07889e+06
2013-01-01 02:16:00 PST,+1.5191e+06,-2.1304e+06
2013-01-01 02:20:00 PST,+1.55791e+06,-2.18178e+06
2013-01-01 02:24:00 PST,+1.59508e+06,-2.23361e+06
2013-01-01 02:28:00 PST,+1.63253e+06,-2.28535e+06
2013-01-01 02:32:00 PST,+1.66943e+06,-2.33725e+06
2013-01-01 02:36:00 PST,+1.70691e+06,-2.389e+06
2013-01-01 02:40:00 PST,+1.74562e+06,-2.44042e+06
2013-01-01 02:44:00 PST,+1.78209e+06,-2.49242e+06
2013-01-01 02:48:00 PST,+1.82057e+06,-2.54391e+06
2013-01-01 02:52:00 PST,+1.85878e+06,-2.59546e+06
2013-01-01 02:56:00 PST,+1.89833e+06,-2.64667e+06
2013-01-01 03:00:00 PST,+1.9367e+06,-2.69817e+06
2013-01-01 03:04:00 PST,+1.97185e+06,-2.75023e+06
2013-01-01 03:08:00 PST,+2.00798e+06,-2.80202e+06
2013-01-01 03:12:00 PST,+2.04382e+06,-2.85389e+06
2013-01-01 03:16:00 PST,+2.07962e+06,-2.90577e+06
2013-01-01 03:20:00 PST,+2.11512e+06,-2.95774e+06
2013-01-01 03:24:00 PST,+2.15014e+06,-3.00982e+06
2013-01-01 03:28:00 PST,+2.18741e+06,-3.06133e+06
2013-01-01 03:32:00 PST,+2.22553e+06,-3.11261e+06
2013-01-01 03:36:00 PST,+2.26163e+06,-3.16443e+06
2013-01-01 03:40:00 PST,+2.29897e+06,-3.21592e+06
2013-01-01 03:44:00 PST,+2.33608e+06,-3.26747e+06
2013-01-01 03:48:00 PST,+2.37237e+06,-3.31922e+06
2013-01-01 03:52:00 PST,+2.40825e+06,-3.37108e+06
2013-01-01 03:56:00 PST,+2.44323e+06,-3.42317e+06
2013-01-01 04:00:00 PST,+2.47898e+06,-3.47507e+06
2013-01-01 04:04:00 PST,+2.51999e+06,-3.52649e+06
2013-01-01 04:08:00 PST,+2.56108e+06,-3.57788e+06
2013-01-01 04:12:00 PST,+2.60409e+06,-3.62877e+06
2013-01-01 04:16:00 PST,+2.64619e+06,-3.67992e+06
2013-01-01 04:20:00 PST,+2.69066e+06,-3.73044e+06
2013-01-01 04:24:00 PST,+2.73407e+06,-3.78123e+06
