# bismuth_current.csv run at 2013-01-01 00:00:00 PST on 950 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
TX_B5077655_A,0.223146,-0.023954,0.000000,0.000000,0.000000,0.000000
TX_1677564E_A,0.223209,-0.024619,0.000000,0.000000,0.000000,0.000000
TX_1677564E_B,0.000000,0.000000,-0.134260,-0.179960,0.000000,0.000000
TX_1677564E_C,0.000000,0.000000,0.000000,0.000000,-0.087864,0.202659
TX_P5074500_A,0.223142,-0.023891,0.000000,0.000000,0.000000,0.000000
TX_P5075009_A,0.223144,-0.023902,0.000000,0.000000,0.000000,0.000000
TX_P5075009_B,0.000000,0.000000,-0.133774,-0.180323,0.000000,0.000000
TX_P5075009_C,0.000000,0.000000,0.000000,0.000000,-0.088271,0.202312
TX_P5074484_A,0.223167,-0.023933,0.000000,0.000000,0.000000,0.000000
TX_P5073702_A,0.223138,-0.023881,0.000000,0.000000,0.000000,0.000000
TX_1135173E_A,0.222311,-0.024957,0.000000,0.000000,0.000000,0.000000
TX_P5071382_A,0.668682,-0.072127,0.000000,0.000000,0.000000,0.000000
TX_P5071382_B,0.000000,0.000000,-0.401542,-0.540275,0.000000,0.000000
TX_P5071382_C,0.000000,0.000000,0.000000,0.000000,-0.263886,0.606679
TX_P5078088_A,0.667287,-0.074044,0.000000,0.000000,0.000000,0.000000
TX_P5078088_B,0.000000,0.000000,-0.397985,-0.541403,0.000000,0.000000
TX_P5078088_C,0.000000,0.000000,0.000000,0.000000,-0.265950,0.608822
TX_P5511896_A,0.223113,-0.023932,0.000000,0.000000,0.000000,0.000000
TX_P5511896_B,0.000000,0.000000,-0.133857,-0.180327,0.000000,0.000000
TX_P5511896_C,0.000000,0.000000,0.000000,0.000000,-0.088171,0.202350
TX_P5328820_A,0.445941,-0.047919,0.000000,0.000000,0.000000,0.000000
TX_P5328820_B,0.000000,0.000000,-0.267101,-0.361117,0.000000,0.000000
TX_P5328820_C,0.000000,0.000000,0.000000,0.000000,-0.176674,0.405202
TX_P5073763_A,0.223180,-0.023968,0.000000,0.000000,0.000000,0.000000
TX_P5073263_A,0.223233,-0.023274,0.000000,0.000000,0.000000,0.000000
TX_4750759E_A,0.223078,-0.023822,0.000000,0.000000,0.000000,0.000000
TX_4750759E_B,0.000000,0.000000,-0.133768,-0.180500,0.000000,0.000000
TX_4750759E_C,0.000000,0.000000,0.000000,0.000000,-0.088231,0.202423
TX_B5074720_A,0.473209,-0.051779,0.000000,0.000000,0.000000,0.000000
TX_P5075014_A,0.669489,-0.071865,0.000000,0.000000,0.000000,0.000000
TX_P5075014_B,0.000000,0.000000,-0.401230,-0.540844,0.000000,0.000000
TX_P5075014_C,0.000000,0.000000,0.000000,0.000000,-0.264952,0.606992
TX_P5073900_A,0.446222,-0.047500,0.000000,0.000000,0.000000,0.000000
TX_P5074350_A,0.223143,-0.023893,0.000000,0.000000,0.000000,0.000000
TX_P5074965_A,0.223157,-0.023933,0.000000,0.000000,0.000000,0.000000
TX_P5074965_B,0.000000,0.000000,-0.133745,-0.180297,0.000000,0.000000
TX_P5074965_C,0.000000,0.000000,0.000000,0.000000,-0.088310,0.202322
TX_P5073893_A,0.223124,-0.023722,0.000000,0.000000,0.000000,0.000000
TX_P5075200_A,0.222892,-0.024009,0.000000,0.000000,0.000000,0.000000
TX_P5075200_B,0.000000,0.000000,-0.133818,-0.180107,0.000000,0.000000
TX_P5075200_C,0.000000,0.000000,0.000000,0.000000,-0.087989,0.202209
TX_P5074968_A,0.223085,-0.023788,0.000000,0.000000,0.000000,0.000000
TX_P5074968_B,0.000000,0.000000,-0.133762,-0.180508,0.000000,0.000000
TX_P5074968_C,0.000000,0.000000,0.000000,0.000000,-0.088243,0.202398
TX_B5074721_A,0.446358,-0.047964,0.000000,0.000000,0.000000,0.000000
TX_P5071095_A,0.222427,-0.024648,0.000000,0.000000,0.000000,0.000000
TX_P5071095_B,0.000000,0.000000,-0.132632,-0.180483,0.000000,0.000000
TX_P5071095_C,0.000000,0.000000,0.000000,0.000000,-0.088677,0.202923
TX_1247606E_A,0.222306,-0.024904,0.000000,0.000000,0.000000,0.000000
TX_P5075015_A,0.223161,-0.023922,0.000000,0.000000,0.000000,0.000000
TX_P5075015_B,0.000000,0.000000,-0.133714,-0.180297,0.000000,0.000000
TX_P5075015_C,0.000000,0.000000,0.000000,0.000000,-0.088344,0.202314
TX_B5077460_A,0.223141,-0.023890,0.000000,0.000000,0.000000,0.000000
TX_P5074482_A,0.446346,-0.047933,0.000000,0.000000,0.000000,0.000000
TX_1247608E_A,0.222307,-0.024906,0.000000,0.000000,0.000000,0.000000
TX_P5074501_A,0.223146,-0.023957,0.000000,0.000000,0.000000,0.000000
TX_1135171E_A,0.222308,-0.024912,0.000000,0.000000,0.000000,0.000000
TX_1678615E_A,0.222986,-0.023783,0.000000,0.000000,0.000000,0.000000
TX_1678615E_B,0.000000,0.000000,-0.133814,-0.180538,0.000000,0.000000
TX_1678615E_C,0.000000,0.000000,0.000000,0.000000,-0.088058,0.202368
