# file...... bismuth_scada.csv
# date...... Tue Aug 15 17:09:16 2017
# user...... alyona
# host...... (null)
# target.... meter 954
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+38074.6,-200328
2013-01-01 00:08:00 PST,+83109.9,-399133
2013-01-01 00:12:00 PST,+131640,-494265
2013-01-01 00:16:00 PST,+181696,-589047
2013-01-01 00:20:00 PST,+231346,-640420
2013-01-01 00:24:00 PST,+281541,-691657
2013-01-01 00:28:00 PST,+331905,-742850
2013-01-01 00:32:00 PST,+382901,-793887
2013-01-01 00:36:00 PST,+434496,-844764
2013-01-01 00:40:00 PST,+486278,-895601
2013-01-01 00:44:00 PST,+537523,-946565
2013-01-01 00:48:00 PST,+589789,-997268
2013-01-01 00:52:00 PST,+641586,-1.0481e+06
2013-01-01 00:56:00 PST,+692976,-1.09903e+06
2013-01-01 01:00:00 PST,+744686,-1.14988e+06
2013-01-01 01:04:00 PST,+786526,-1.20139e+06
2013-01-01 01:08:00 PST,+826271,-1.25345e+06
2013-01-01 01:12:00 PST,+867187,-1.30521e+06
2013-01-01 01:16:00 PST,+908046,-1.35697e+06
2013-01-01 01:20:00 PST,+948359,-1.40889e+06
2013-01-01 01:24:00 PST,+989247,-1.46066e+06
2013-01-01 01:28:00 PST,+1.03176e+06,-1.512e+06
2013-01-01 01:32:00 PST,+1.07341e+06,-1.56355e+06
2013-01-01 01:36:00 PST,+1.11391e+06,-1.61542e+06
2013-01-01 01:40:00 PST,+1.15499e+06,-1.66713e+06
2013-01-01 01:44:00 PST,+1.19764e+06,-1.71844e+06
2013-01-01 01:48:00 PST,+1.23945e+06,-1.76997e+06
2013-01-01 01:52:00 PST,+1.28132e+06,-1.82147e+06
2013-01-01 01:56:00 PST,+1.32465e+06,-1.87259e+06
2013-01-01 02:00:00 PST,+1.36636e+06,-1.92413e+06
2013-01-01 02:04:00 PST,+1.40415e+06,-1.9758e+06
2013-01-01 02:08:00 PST,+1.44163e+06,-2.02754e+06
2013-01-01 02:12:00 PST,+1.47911e+06,-2.07929e+06
2013-01-01 02:16:00 PST,+1.51669e+06,-2.13101e+06
2013-01-01 02:20:00 PST,+1.55408e+06,-2.18277e+06
2013-01-01 02:24:00 PST,+1.59142e+06,-2.23454e+06
2013-01-01 02:28:00 PST,+1.62951e+06,-2.28613e+06
2013-01-01 02:32:00 PST,+1.66772e+06,-2.33768e+06
2013-01-01 02:36:00 PST,+1.70561e+06,-2.3893e+06
2013-01-01 02:40:00 PST,+1.74205e+06,-2.44132e+06
2013-01-01 02:44:00 PST,+1.78086e+06,-2.49271e+06
2013-01-01 02:48:00 PST,+1.81986e+06,-2.54406e+06
2013-01-01 02:52:00 PST,+1.85701e+06,-2.59589e+06
