# cobalt_current.csv run at 2013-01-01 00:00:00 PST on 1286 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
TX_B5075890_A,0.223257,-0.024964,0.000000,0.000000,0.000000,0.000000
TX_4504161E_A,0.223448,-0.024859,0.000000,0.000000,0.000000,0.000000
TX_763321E_A,0.222391,-0.025290,0.000000,0.000000,0.000000,0.000000
TX_1136202E_A,0.222259,-0.025370,0.000000,0.000000,0.000000,0.000000
TX_1136202E_B,0.000000,0.000000,-0.132299,-0.180365,0.000000,0.000000
TX_1136202E_C,0.000000,0.000000,0.000000,0.000000,-0.089069,0.203414
TX_4704578E_A,0.223305,-0.024981,0.000000,0.000000,0.000000,0.000000
TX_1469089E_A,0.223125,-0.025307,0.000000,0.000000,0.000000,0.000000
TX_P5072858_A,0.222693,-0.024329,0.000000,0.000000,0.000000,0.000000
TX_P5072858_B,0.000000,0.000000,-0.133340,-0.180473,0.000000,0.000000
TX_P5072858_C,0.000000,0.000000,0.000000,0.000000,-0.088406,0.202634
TX_P5074272_A,0.222673,-0.025290,0.000000,0.000000,0.000000,0.000000
TX_1135178E_A,0.222456,-0.024999,0.000000,0.000000,0.000000,0.000000
TX_1469084E_A,0.223136,-0.025315,0.000000,0.000000,0.000000,0.000000
TX_B5076189_A,0.223479,-0.024789,0.000000,0.000000,0.000000,0.000000
TX_B5076621_A,0.223257,-0.024949,0.000000,0.000000,0.000000,0.000000
TX_B5076319_A,0.223707,-0.024582,0.000000,0.000000,0.000000,0.000000
TX_1063707E_A,0.222445,-0.025073,0.000000,0.000000,0.000000,0.000000
TX_763347E_A,0.222443,-0.025071,0.000000,0.000000,0.000000,0.000000
TX_B5072426_A,0.223474,-0.024785,0.000000,0.000000,0.000000,0.000000
TX_1335103E_A,0.222871,-0.025587,0.000000,0.000000,0.000000,0.000000
TX_1335103E_B,0.000000,0.000000,-0.133630,-0.179506,0.000000,0.000000
TX_1335103E_C,0.000000,0.000000,0.000000,0.000000,-0.088134,0.202663
TX_S5074936_A,0.223480,-0.024863,0.000000,0.000000,0.000000,0.000000
TX_1286120E_A,0.222807,-0.025893,0.000000,0.000000,0.000000,0.000000
TX_1286120E_B,0.000000,0.000000,-0.133806,-0.179391,0.000000,0.000000
TX_1286120E_C,0.000000,0.000000,0.000000,0.000000,-0.087907,0.202822
TX_B5076272_A,0.223302,-0.024959,0.000000,0.000000,0.000000,0.000000
TX_1681006E_A,0.224363,-0.023459,0.000000,0.000000,0.000000,0.000000
TX_1335106E_A,0.222910,-0.026232,0.000000,0.000000,0.000000,0.000000
TX_1335106E_B,0.000000,0.000000,-0.134165,-0.179204,0.000000,0.000000
TX_1335106E_C,0.000000,0.000000,0.000000,0.000000,-0.087650,0.202996
TX_1642384E_A,0.222692,-0.025302,0.000000,0.000000,0.000000,0.000000
TX_1063729E_A,0.222533,-0.024720,0.000000,0.000000,0.000000,0.000000
TX_B5075368_A,0.223481,-0.024815,0.000000,0.000000,0.000000,0.000000
TX_1717922E_A,0.222331,-0.025334,0.000000,0.000000,0.000000,0.000000
TX_1717922E_B,0.000000,0.000000,-0.132378,-0.180303,0.000000,0.000000
TX_1717922E_C,0.000000,0.000000,0.000000,0.000000,-0.089060,0.203314
TX_687836H_A,0.223314,-0.025121,0.000000,0.000000,0.000000,0.000000
TX_1673799E_A,0.222702,-0.025301,0.000000,0.000000,0.000000,0.000000
TX_B5076265_A,0.223303,-0.024959,0.000000,0.000000,0.000000,0.000000
TX_B5075639_A,0.223480,-0.024812,0.000000,0.000000,0.000000,0.000000
TX_1575635E_A,0.222614,-0.026281,0.000000,0.000000,0.000000,0.000000
TX_1575635E_B,0.000000,0.000000,-0.133726,-0.179510,0.000000,0.000000
TX_1575635E_C,0.000000,0.000000,0.000000,0.000000,-0.087846,0.203377
TX_1252673E_A,0.222598,-0.024656,0.000000,0.000000,0.000000,0.000000
TX_688864H_A,0.223316,-0.025003,0.000000,0.000000,0.000000,0.000000
TX_1575613E_A,0.224354,-0.023410,0.000000,0.000000,0.000000,0.000000
TX_1642109E_A,0.224359,-0.023456,0.000000,0.000000,0.000000,0.000000
TX_2243141E_A,0.223326,-0.025590,0.000000,0.000000,0.000000,0.000000
TX_2243141E_B,0.000000,0.000000,-0.134371,-0.179384,0.000000,0.000000
TX_2243141E_C,0.000000,0.000000,0.000000,0.000000,-0.087872,0.202742
TX_1642390E_A,0.224358,-0.023456,0.000000,0.000000,0.000000,0.000000
TX_688856H_A,0.223312,-0.025039,0.000000,0.000000,0.000000,0.000000
TX_1575639E_A,0.222831,-0.026174,0.000000,0.000000,0.000000,0.000000
TX_1575639E_B,0.000000,0.000000,-0.133948,-0.179476,0.000000,0.000000
TX_1575639E_C,0.000000,0.000000,0.000000,0.000000,-0.087836,0.203323
TX_738140H_A,0.222907,-0.025419,0.000000,0.000000,0.000000,0.000000
TX_1641743E_A,0.222697,-0.025387,0.000000,0.000000,0.000000,0.000000
TX_1673796E_A,0.222700,-0.025238,0.000000,0.000000,0.000000,0.000000
TX_P5363732_A,0.223471,-0.024759,0.000000,0.000000,0.000000,0.000000
TX_P5363732_B,0.000000,0.000000,-0.134404,-0.179415,0.000000,0.000000
TX_P5363732_C,0.000000,0.000000,0.000000,0.000000,-0.087989,0.202093
TX_1405381E_A,0.223012,-0.025511,0.000000,0.000000,0.000000,0.000000
