# file...... cobalt_scada.csv
# date...... Tue Aug 15 22:03:27 2017
# user...... ec2-user
# host...... (null)
# target.... meter 1385
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+50497.3,-184151
2013-01-01 00:08:00 PST,+110948,-365987
2013-01-01 00:12:00 PST,+175182,-473131
2013-01-01 00:16:00 PST,+240416,-580056
2013-01-01 00:20:00 PST,+307164,-643401
2013-01-01 00:24:00 PST,+374925,-706500
2013-01-01 00:28:00 PST,+441332,-726392
2013-01-01 00:32:00 PST,+508952,-745968
2013-01-01 00:36:00 PST,+577409,-765314
2013-01-01 00:40:00 PST,+645880,-784671
2013-01-01 00:44:00 PST,+713971,-804126
2013-01-01 00:48:00 PST,+781431,-823741
2013-01-01 00:52:00 PST,+850423,-842946
2013-01-01 00:56:00 PST,+918496,-862405
2013-01-01 01:00:00 PST,+986409,-881909
2013-01-01 01:04:00 PST,+1.04268e+06,-901959
2013-01-01 01:08:00 PST,+1.09639e+06,-922685
2013-01-01 01:12:00 PST,+1.15022e+06,-943394
2013-01-01 01:16:00 PST,+1.20393e+06,-964120
2013-01-01 01:20:00 PST,+1.25834e+06,-984658
2013-01-01 01:24:00 PST,+1.31269e+06,-1.00521e+06
2013-01-01 01:28:00 PST,+1.36643e+06,-1.02593e+06
2013-01-01 01:32:00 PST,+1.42053e+06,-1.04656e+06
2013-01-01 01:36:00 PST,+1.47566e+06,-1.06692e+06
2013-01-01 01:40:00 PST,+1.53225e+06,-1.0869e+06
2013-01-01 01:44:00 PST,+1.58773e+06,-1.10715e+06
2013-01-01 01:48:00 PST,+1.64278e+06,-1.12753e+06
2013-01-01 01:52:00 PST,+1.69842e+06,-1.14775e+06
2013-01-01 01:56:00 PST,+1.75325e+06,-1.16818e+06
2013-01-01 02:00:00 PST,+1.80791e+06,-1.18865e+06
2013-01-01 02:04:00 PST,+1.85684e+06,-1.20943e+06
2013-01-01 02:08:00 PST,+1.90566e+06,-1.23024e+06
2013-01-01 02:12:00 PST,+1.95532e+06,-1.25083e+06
2013-01-01 02:16:00 PST,+2.00539e+06,-1.27131e+06
2013-01-01 02:20:00 PST,+2.05526e+06,-1.29184e+06
2013-01-01 02:24:00 PST,+2.10376e+06,-1.31274e+06
2013-01-01 02:28:00 PST,+2.15328e+06,-1.33337e+06
2013-01-01 02:32:00 PST,+2.20208e+06,-1.35418e+06
2013-01-01 02:36:00 PST,+2.2518e+06,-1.37475e+06
2013-01-01 02:40:00 PST,+2.30124e+06,-1.39537e+06
2013-01-01 02:44:00 PST,+2.34914e+06,-1.41642e+06
2013-01-01 02:48:00 PST,+2.39969e+06,-1.43678e+06
2013-01-01 02:52:00 PST,+2.45e+06,-1.45719e+06
2013-01-01 02:56:00 PST,+2.50179e+06,-1.47722e+06
2013-01-01 03:00:00 PST,+2.55346e+06,-1.49728e+06
2013-01-01 03:04:00 PST,+2.59954e+06,-1.51842e+06
2013-01-01 03:08:00 PST,+2.64726e+06,-1.53914e+06
2013-01-01 03:12:00 PST,+2.69412e+06,-1.56006e+06
2013-01-01 03:16:00 PST,+2.74174e+06,-1.58081e+06
2013-01-01 03:20:00 PST,+2.78833e+06,-1.60181e+06
2013-01-01 03:24:00 PST,+2.8348e+06,-1.62284e+06
2013-01-01 03:28:00 PST,+2.88383e+06,-1.6432e+06
2013-01-01 03:32:00 PST,+2.93353e+06,-1.66339e+06
2013-01-01 03:36:00 PST,+2.98123e+06,-1.68409e+06
2013-01-01 03:40:00 PST,+3.03041e+06,-1.70442e+06
2013-01-01 03:44:00 PST,+3.07885e+06,-1.72493e+06
2013-01-01 03:48:00 PST,+3.12666e+06,-1.74561e+06
2013-01-01 03:52:00 PST,+3.17425e+06,-1.76636e+06
2013-01-01 03:56:00 PST,+3.2213e+06,-1.78724e+06
2013-01-01 04:00:00 PST,+3.26851e+06,-1.80808e+06
2013-01-01 04:04:00 PST,+3.3227e+06,-1.82826e+06
2013-01-01 04:08:00 PST,+3.37595e+06,-1.8487e+06
2013-01-01 04:12:00 PST,+3.4329e+06,-1.86816e+06
2013-01-01 04:16:00 PST,+3.48851e+06,-1.88795e+06
2013-01-01 04:20:00 PST,+3.54763e+06,-1.90682e+06
2013-01-01 04:24:00 PST,+3.60275e+06,-1.92676e+06
2013-01-01 04:28:00 PST,+3.65793e+06,-1.94668e+06
2013-01-01 04:32:00 PST,+3.71337e+06,-1.96653e+06
2013-01-01 04:36:00 PST,+3.76858e+06,-1.98644e+06
2013-01-01 04:40:00 PST,+3.8236e+06,-2.00642e+06
2013-01-01 04:44:00 PST,+3.87717e+06,-2.02675e+06
2013-01-01 04:48:00 PST,+3.93273e+06,-2.04658e+06
2013-01-01 04:52:00 PST,+3.98802e+06,-2.06647e+06
2013-01-01 04:56:00 PST,+4.04485e+06,-2.08596e+06
2013-01-01 05:00:00 PST,+4.10239e+06,-2.10524e+06
2013-01-01 05:04:00 PST,+4.1893e+06,-2.12287e+06
2013-01-01 05:08:00 PST,+4.28204e+06,-2.13891e+06
2013-01-01 05:12:00 PST,+4.37519e+06,-2.15481e+06
2013-01-01 05:16:00 PST,+4.46793e+06,-2.17084e+06
2013-01-01 05:20:00 PST,+4.56009e+06,-2.187e+06
2013-01-01 05:24:00 PST,+4.65528e+06,-2.20236e+06
2013-01-01 05:28:00 PST,+4.74471e+06,-2.2193e+06
2013-01-01 05:32:00 PST,+4.83482e+06,-2.23606e+06
2013-01-01 05:36:00 PST,+4.92459e+06,-2.2529e+06
2013-01-01 05:40:00 PST,+5.01312e+06,-2.27007e+06
2013-01-01 05:44:00 PST,+5.10671e+06,-2.28586e+06
2013-01-01 05:48:00 PST,+5.19927e+06,-2.30195e+06
2013-01-01 05:52:00 PST,+5.28948e+06,-2.31868e+06
2013-01-01 05:56:00 PST,+5.38062e+06,-2.33516e+06
2013-01-01 06:00:00 PST,+5.47078e+06,-2.35187e+06
2013-01-01 06:04:00 PST,+5.63594e+06,-2.36301e+06
2013-01-01 06:08:00 PST,+5.83014e+06,-2.36551e+06
2013-01-01 06:12:00 PST,+6.02851e+06,-2.36685e+06
2013-01-01 06:16:00 PST,+6.21066e+06,-2.41601e+06
2013-01-01 06:20:00 PST,+6.38247e+06,-2.46823e+06
2013-01-01 06:24:00 PST,+6.5538e+06,-2.52055e+06
2013-01-01 06:28:00 PST,+6.72777e+06,-2.57215e+06
