# titanium_current.csv run at 2013-01-01 00:00:00 PST on 470 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
TX_P5506438_A,0.667030,-0.090646,0.000000,0.000000,0.000000,0.000000
TX_P5506438_B,0.000000,0.000000,-0.424384,-0.531962,0.000000,0.000000
TX_P5506438_C,0.000000,0.000000,0.000000,0.000000,-0.231185,0.622239
TX_294778E_A,0.222153,-0.031157,0.000000,0.000000,0.000000,0.000000
TX_294778E_B,0.000000,0.000000,-0.142152,-0.176641,0.000000,0.000000
TX_294778E_C,0.000000,0.000000,0.000000,0.000000,-0.076224,0.207658
TX_P5076411_A,0.444662,-0.060406,0.000000,0.000000,0.000000,0.000000
TX_P5076411_B,0.000000,0.000000,-0.282888,-0.354633,0.000000,0.000000
TX_P5076411_C,0.000000,0.000000,0.000000,0.000000,-0.154133,0.414794
TX_V5073018_A,0.222016,-0.030246,0.000000,0.000000,0.000000,0.000000
TX_P5078993_A,0.222317,-0.030197,0.000000,0.000000,0.000000,0.000000
TX_P5078993_B,0.000000,0.000000,-0.141432,-0.177307,0.000000,0.000000
TX_P5078993_C,0.000000,0.000000,0.000000,0.000000,-0.077065,0.207382
TX_S5072114_A,0.222320,-0.030547,0.000000,0.000000,0.000000,0.000000
TX_S5072114_B,0.000000,0.000000,-0.141743,-0.177125,0.000000,0.000000
TX_S5072114_C,0.000000,0.000000,0.000000,0.000000,-0.076770,0.207543
TX_P5497746_A,0.221886,-0.030096,0.000000,0.000000,0.000000,0.000000
TX_4330205E_A,0.221644,-0.030977,0.000000,0.000000,0.000000,0.000000
TX_4330205E_B,0.000000,0.000000,-0.141586,-0.176230,0.000000,0.000000
TX_4330205E_C,0.000000,0.000000,0.000000,0.000000,-0.076292,0.207072
TX_2115385E_A,0.221614,-0.030105,0.000000,0.000000,0.000000,0.000000
TX_2115385E_B,0.000000,0.000000,-0.140817,-0.176681,0.000000,0.000000
TX_2115385E_C,0.000000,0.000000,0.000000,0.000000,-0.076991,0.206667
TX_P5444357_A,0.220342,-0.031333,0.000000,0.000000,0.000000,0.000000
TX_P5444357_B,0.000000,0.000000,-0.138337,-0.175888,0.000000,0.000000
TX_P5444357_C,0.000000,0.000000,0.000000,0.000000,-0.078134,0.206730
TX_B5077102_A,0.221595,-0.030036,0.000000,0.000000,0.000000,0.000000
TX_B5077101_A,0.221594,-0.030019,0.000000,0.000000,0.000000,0.000000
TX_P5595831_A,0.221974,-0.032194,0.000000,0.000000,0.000000,0.000000
TX_4471502E_A,0.221049,-0.030945,0.000000,0.000000,0.000000,0.000000
TX_4471502E_B,0.000000,0.000000,-0.139951,-0.176166,0.000000,0.000000
TX_4471502E_C,0.000000,0.000000,0.000000,0.000000,-0.077266,0.206818
TX_P5497747_A,0.221886,-0.030079,0.000000,0.000000,0.000000,0.000000
TX_P5447256_A,0.687926,-0.098848,0.000000,0.000000,0.000000,0.000000
TX_P5447256_B,0.000000,0.000000,-0.415085,-0.527622,0.000000,0.000000
TX_P5447256_C,0.000000,0.000000,0.000000,0.000000,-0.234331,0.620231
TX_P5497748_A,0.221886,-0.030080,0.000000,0.000000,0.000000,0.000000
TX_P5444213_A,0.661027,-0.094081,0.000000,0.000000,0.000000,0.000000
TX_P5444213_B,0.000000,0.000000,-0.415084,-0.527622,0.000000,0.000000
TX_P5444213_C,0.000000,0.000000,0.000000,0.000000,-0.234331,0.620230
TX_1680892E_A,0.220037,-0.032405,0.000000,0.000000,0.000000,0.000000
TX_1680892E_B,0.000000,0.000000,-0.138049,-0.175371,0.000000,0.000000
TX_1680892E_C,0.000000,0.000000,0.000000,0.000000,-0.078159,0.207181
TX_P5076413_A,0.444667,-0.060407,0.000000,0.000000,0.000000,0.000000
TX_P5076413_B,0.000000,0.000000,-0.282891,-0.354637,0.000000,0.000000
TX_P5076413_C,0.000000,0.000000,0.000000,0.000000,-0.154134,0.414798
TX_P5079023_A,2.220622,-0.304725,0.000000,0.000000,0.000000,0.000000
TX_P5079023_B,0.000000,0.000000,-1.414799,-1.769189,0.000000,0.000000
TX_P5079023_C,0.000000,0.000000,0.000000,0.000000,-0.767781,2.072654
TX_P5445351_A,0.665941,-0.090339,0.000000,0.000000,0.000000,0.000000
TX_P5445351_B,0.000000,0.000000,-0.423253,-0.531049,0.000000,0.000000
TX_P5445351_C,0.000000,0.000000,0.000000,0.000000,-0.231247,0.621037
TX_P5320416_A,0.439833,-0.063635,0.000000,0.000000,0.000000,0.000000
TX_P5320416_B,0.000000,0.000000,-0.275161,-0.351197,0.000000,0.000000
TX_P5320416_C,0.000000,0.000000,0.000000,0.000000,-0.156918,0.413617
TX_4801319E_A,0.440685,-0.062700,0.000000,0.000000,0.000000,0.000000
TX_4801319E_B,0.000000,0.000000,-0.276704,-0.351759,0.000000,0.000000
TX_4801319E_C,0.000000,0.000000,0.000000,0.000000,-0.156239,0.413477
TX_P5444277_A,3.775360,-0.518510,0.000000,0.000000,0.000000,0.000000
TX_P5444277_B,0.000000,0.000000,-2.405505,-3.007551,0.000000,0.000000
TX_P5444277_C,0.000000,0.000000,0.000000,0.000000,-1.305190,3.523855
TX_P5512210_A,0.221127,-0.030581,0.000000,0.000000,0.000000,0.000000
TX_P5512210_B,0.000000,0.000000,-0.139859,-0.176360,0.000000,0.000000
TX_P5512210_C,0.000000,0.000000,0.000000,0.000000,-0.077432,0.206678
TX_P5468243_A,0.666054,-0.090597,0.000000,0.000000,0.000000,0.000000
TX_P5468243_B,0.000000,0.000000,-0.423601,-0.531059,0.000000,0.000000
TX_P5468243_C,0.000000,0.000000,0.000000,0.000000,-0.231007,0.621292
TX_P5320417_A,0.659751,-0.095483,0.000000,0.000000,0.000000,0.000000
TX_P5320417_B,0.000000,0.000000,-0.412769,-0.526781,0.000000,0.000000
TX_P5320417_C,0.000000,0.000000,0.000000,0.000000,-0.235351,0.620441
TX_P5517653_A,3.745956,-0.537989,0.000000,0.000000,0.000000,0.000000
TX_P5517653_B,0.000000,0.000000,-2.356484,-2.987505,0.000000,0.000000
TX_P5517653_C,0.000000,0.000000,0.000000,0.000000,-1.332552,3.543095
TX_P5077650_A,1.111617,-0.152388,0.000000,0.000000,0.000000,0.000000
TX_P5077650_B,0.000000,0.000000,-0.708419,-0.885822,0.000000,0.000000
TX_P5077650_C,0.000000,0.000000,0.000000,0.000000,-0.384153,1.037572
TX_P5320414_A,0.439833,-0.063634,0.000000,0.000000,0.000000,0.000000
TX_P5320414_B,0.000000,0.000000,-0.275160,-0.351197,0.000000,0.000000
TX_P5320414_C,0.000000,0.000000,0.000000,0.000000,-0.156918,0.413616
TX_P5073132_A,0.222334,-0.030204,0.000000,0.000000,0.000000,0.000000
TX_P5073132_B,0.000000,0.000000,-0.141446,-0.177319,0.000000,0.000000
TX_P5073132_C,0.000000,0.000000,0.000000,0.000000,-0.077067,0.207400
TX_P5398618_A,0.444031,-0.060379,0.000000,0.000000,0.000000,0.000000
TX_P5398618_B,0.000000,0.000000,-0.282380,-0.354044,0.000000,0.000000
TX_P5398618_C,0.000000,0.000000,0.000000,0.000000,-0.154019,0.414180
TX_S5075867_A,0.220564,-0.031167,0.000000,0.000000,0.000000,0.000000
TX_P5078132_A,1.333906,-0.182649,0.000000,0.000000,0.000000,0.000000
TX_P5078132_B,0.000000,0.000000,-0.849892,-1.063071,0.000000,0.000000
TX_P5078132_C,0.000000,0.000000,0.000000,0.000000,-0.461151,1.244959
TX_P5620916_A,0.221930,-0.030128,0.000000,0.000000,0.000000,0.000000
TX_4506963E_A,0.221345,-0.031266,0.000000,0.000000,0.000000,0.000000
TX_4506963E_B,0.000000,0.000000,-0.141038,-0.176034,0.000000,0.000000
TX_4506963E_C,0.000000,0.000000,0.000000,0.000000,-0.076517,0.207081
TX_4797915E_A,0.221932,-0.030534,0.000000,0.000000,0.000000,0.000000
TX_4797915E_B,0.000000,0.000000,-0.141439,-0.176765,0.000000,0.000000
TX_4797915E_C,0.000000,0.000000,0.000000,0.000000,-0.076694,0.207172
TX_P5078992_A,0.222316,-0.030197,0.000000,0.000000,0.000000,0.000000
TX_P5078992_B,0.000000,0.000000,-0.141431,-0.177307,0.000000,0.000000
TX_P5078992_C,0.000000,0.000000,0.000000,0.000000,-0.077064,0.207382
TX_P5512049_A,0.220961,-0.030688,0.000000,0.000000,0.000000,0.000000
TX_P5512049_B,0.000000,0.000000,-0.139492,-0.176286,0.000000,0.000000
TX_P5512049_C,0.000000,0.000000,0.000000,0.000000,-0.077622,0.206663
TX_B5077100_A,0.221595,-0.030036,0.000000,0.000000,0.000000,0.000000
TX_P5468242_A,0.222016,-0.030165,0.000000,0.000000,0.000000,0.000000
TX_P5468242_B,0.000000,0.000000,-0.141169,-0.177036,0.000000,0.000000
TX_P5468242_C,0.000000,0.000000,0.000000,0.000000,-0.077030,0.207081
TX_1680707E_A,0.220348,-0.031691,0.000000,0.000000,0.000000,0.000000
TX_1680707E_B,0.000000,0.000000,-0.138655,-0.175710,0.000000,0.000000
TX_1680707E_C,0.000000,0.000000,0.000000,0.000000,-0.077829,0.206904
TX_P5076416_A,0.444588,-0.060358,0.000000,0.000000,0.000000,0.000000
TX_P5076416_B,0.000000,0.000000,-0.282788,-0.354584,0.000000,0.000000
TX_P5076416_C,0.000000,0.000000,0.000000,0.000000,-0.154159,0.414699
TX_P5076423_A,0.222016,-0.030259,0.000000,0.000000,0.000000,0.000000
TX_P5076423_B,0.000000,0.000000,-0.141252,-0.176986,0.000000,0.000000
TX_P5076423_C,0.000000,0.000000,0.000000,0.000000,-0.076951,0.207122
TX_J016A-1PT_A,0.222047,-0.030541,0.000000,0.000000,0.000000,0.000000
TX_J016A-1PT_B,0.000000,0.000000,-0.141519,-0.176864,0.000000,0.000000
TX_J016A-1PT_C,0.000000,0.000000,0.000000,0.000000,-0.076726,0.207276
TX_P5072219_A,1.334069,-0.182699,0.000000,0.000000,0.000000,0.000000
TX_P5072219_B,0.000000,0.000000,-0.850020,-1.063189,0.000000,0.000000
TX_P5072219_C,0.000000,0.000000,0.000000,0.000000,-0.471440,1.291863
TX_P5620917_A,0.221931,-0.030128,0.000000,0.000000,0.000000,0.000000
TX_P5072218_A,0.222340,-0.030205,0.000000,0.000000,0.000000,0.000000
TX_P5072218_B,0.000000,0.000000,-0.141450,-0.177324,0.000000,0.000000
TX_P5072218_C,0.000000,0.000000,0.000000,0.000000,-0.077069,0.207405
TX_P5076415_A,1.333794,-0.182545,0.000000,0.000000,0.000000,0.000000
TX_P5076415_B,0.000000,0.000000,-0.849685,-1.062998,0.000000,0.000000
TX_P5076415_C,0.000000,0.000000,0.000000,0.000000,-0.461248,1.244787
TX_P5398619_A,0.444031,-0.060379,0.000000,0.000000,0.000000,0.000000
TX_P5398619_B,0.000000,0.000000,-0.282380,-0.354044,0.000000,0.000000
TX_P5398619_C,0.000000,0.000000,0.000000,0.000000,-0.154019,0.414180
TX_P5446952_A,1.107682,-0.151784,0.000000,0.000000,0.000000,0.000000
TX_P5446952_B,0.000000,0.000000,-0.704010,-0.882591,0.000000,0.000000
TX_P5446952_C,0.000000,0.000000,0.000000,0.000000,-0.384674,1.033656
TX_P5078005_A,0.222013,-0.030188,0.000000,0.000000,0.000000,0.000000
TX_P5078005_B,0.000000,0.000000,-0.141188,-0.177022,0.000000,0.000000
TX_P5078005_C,0.000000,0.000000,0.000000,0.000000,-0.077010,0.207089
TX_P5506503_A,1.101739,-0.158112,0.000000,0.000000,0.000000,0.000000
TX_P5506503_B,0.000000,0.000000,-0.692972,-0.878728,0.000000,0.000000
TX_P5506503_C,0.000000,0.000000,0.000000,0.000000,-0.389443,1.034359
TX_P5076693_A,0.440428,-0.062970,0.000000,0.000000,0.000000,0.000000
TX_P5076693_B,0.000000,0.000000,-0.276247,-0.351588,0.000000,0.000000
TX_P5076693_C,0.000000,0.000000,0.000000,0.000000,-0.156434,0.413504
source_17916$node_17916,36.781429,176.154312,132.197651,-119.176185,-228.933259,-81.974514
