# file...... titanium_scada.csv
# date...... Fri Aug 18 09:26:52 2017
# user...... alyona
# host...... (null)
# target.... meter 968
# trigger... (none)
# interval.. -1
# limit..... 0
# timestamp,measured_real_energy,measured_reactive_energy
2013-01-01 00:00:00 PST,+0,+0
2013-01-01 00:04:00 PST,+56334.3,-282940
2013-01-01 00:08:00 PST,+121160,-563347
2013-01-01 00:12:00 PST,+186245,-730499
2013-01-01 00:16:00 PST,+253162,-897208
2013-01-01 00:20:00 PST,+324027,-1.094e+06
2013-01-01 00:24:00 PST,+395310,-1.29074e+06
2013-01-01 00:28:00 PST,+466777,-1.48756e+06
2013-01-01 00:32:00 PST,+538694,-1.68428e+06
2013-01-01 00:36:00 PST,+607796,-1.8503e+06
2013-01-01 00:40:00 PST,+677160,-2.01627e+06
2013-01-01 00:44:00 PST,+749259,-2.21263e+06
2013-01-01 00:48:00 PST,+822336,-2.40868e+06
2013-01-01 00:52:00 PST,+895023,-2.60515e+06
2013-01-01 00:56:00 PST,+967326,-2.80169e+06
2013-01-01 01:00:00 PST,+1.03659e+06,-2.96762e+06
2013-01-01 01:04:00 PST,+1.094e+06,-3.13501e+06
2013-01-01 01:08:00 PST,+1.15266e+06,-3.33349e+06
2013-01-01 01:12:00 PST,+1.21249e+06,-3.53156e+06
2013-01-01 01:16:00 PST,+1.26577e+06,-3.61338e+06
2013-01-01 01:20:00 PST,+1.31831e+06,-3.69537e+06
2013-01-01 01:24:00 PST,+1.37245e+06,-3.77657e+06
2013-01-01 01:28:00 PST,+1.42699e+06,-3.85772e+06
2013-01-01 01:32:00 PST,+1.48523e+06,-3.97012e+06
2013-01-01 01:36:00 PST,+1.54216e+06,-4.08303e+06
2013-01-01 01:40:00 PST,+1.59548e+06,-4.16473e+06
2013-01-01 01:44:00 PST,+1.65081e+06,-4.24589e+06
2013-01-01 01:48:00 PST,+1.70515e+06,-4.32717e+06
2013-01-01 01:52:00 PST,+1.7597e+06,-4.40829e+06
2013-01-01 01:56:00 PST,+1.81833e+06,-4.52061e+06
2013-01-01 02:00:00 PST,+1.87721e+06,-4.63292e+06
2013-01-01 02:04:00 PST,+1.92693e+06,-4.71457e+06
2013-01-01 02:08:00 PST,+1.9759e+06,-4.79645e+06
2013-01-01 02:12:00 PST,+2.02549e+06,-4.87794e+06
2013-01-01 02:16:00 PST,+2.07515e+06,-4.95938e+06
2013-01-01 02:20:00 PST,+2.12785e+06,-5.0723e+06
2013-01-01 02:24:00 PST,+2.18137e+06,-5.18506e+06
2013-01-01 02:28:00 PST,+2.23154e+06,-5.26657e+06
2013-01-01 02:32:00 PST,+2.28171e+06,-5.34822e+06
2013-01-01 02:36:00 PST,+2.33121e+06,-5.42978e+06
2013-01-01 02:40:00 PST,+2.37889e+06,-5.51178e+06
2013-01-01 02:44:00 PST,+2.43287e+06,-5.62432e+06
2013-01-01 02:48:00 PST,+2.48785e+06,-5.73666e+06
2013-01-01 02:52:00 PST,+2.53774e+06,-5.81826e+06
2013-01-01 02:56:00 PST,+2.58646e+06,-5.9002e+06
2013-01-01 03:00:00 PST,+2.63558e+06,-5.98183e+06
2013-01-01 03:04:00 PST,+2.68387e+06,-6.06327e+06
2013-01-01 03:08:00 PST,+2.73615e+06,-6.17595e+06
2013-01-01 03:12:00 PST,+2.78794e+06,-6.28883e+06
2013-01-01 03:16:00 PST,+2.83388e+06,-6.37122e+06
2013-01-01 03:20:00 PST,+2.88218e+06,-6.45293e+06
2013-01-01 03:24:00 PST,+2.93084e+06,-6.53434e+06
2013-01-01 03:28:00 PST,+2.97875e+06,-6.61582e+06
2013-01-01 03:32:00 PST,+3.0313e+06,-6.72848e+06
2013-01-01 03:36:00 PST,+3.0832e+06,-6.84138e+06
2013-01-01 03:40:00 PST,+3.13142e+06,-6.923e+06
2013-01-01 03:44:00 PST,+3.18011e+06,-7.00452e+06
2013-01-01 03:48:00 PST,+3.22869e+06,-7.08609e+06
2013-01-01 03:52:00 PST,+3.27817e+06,-7.16729e+06
2013-01-01 03:56:00 PST,+3.33056e+06,-7.27992e+06
2013-01-01 04:00:00 PST,+3.38277e+06,-7.39268e+06
2013-01-01 04:04:00 PST,+3.43649e+06,-7.47395e+06
2013-01-01 04:08:00 PST,+3.48994e+06,-7.55516e+06
2013-01-01 04:12:00 PST,+3.54569e+06,-7.63553e+06
2013-01-01 04:16:00 PST,+3.59927e+06,-7.7166e+06
2013-01-01 04:20:00 PST,+3.65618e+06,-7.82901e+06
2013-01-01 04:24:00 PST,+3.71368e+06,-7.94135e+06
2013-01-01 04:28:00 PST,+3.77049e+06,-8.02166e+06
2013-01-01 04:32:00 PST,+3.82483e+06,-8.1028e+06
2013-01-01 04:36:00 PST,+3.8798e+06,-8.1835e+06
2013-01-01 04:40:00 PST,+3.93272e+06,-8.2648e+06
2013-01-01 04:44:00 PST,+3.99416e+06,-8.37604e+06
2013-01-01 04:48:00 PST,+4.05175e+06,-8.48843e+06
2013-01-01 04:52:00 PST,+4.10613e+06,-8.56948e+06
2013-01-01 04:56:00 PST,+4.16071e+06,-8.65056e+06
2013-01-01 05:00:00 PST,+4.2161e+06,-8.73109e+06
2013-01-01 05:04:00 PST,+4.29637e+06,-8.81005e+06
2013-01-01 05:08:00 PST,+4.39347e+06,-8.91618e+06
2013-01-01 05:12:00 PST,+4.48352e+06,-9.02435e+06
2013-01-01 05:16:00 PST,+4.57565e+06,-9.10029e+06
2013-01-01 05:20:00 PST,+4.66395e+06,-9.17716e+06
2013-01-01 05:24:00 PST,+4.74758e+06,-9.25507e+06
2013-01-01 05:28:00 PST,+4.83344e+06,-9.33258e+06
2013-01-01 05:32:00 PST,+4.9252e+06,-9.44023e+06
2013-01-01 05:36:00 PST,+5.01162e+06,-9.54977e+06
2013-01-01 05:40:00 PST,+5.09829e+06,-9.62734e+06
2013-01-01 05:44:00 PST,+5.18578e+06,-9.70481e+06
2013-01-01 05:48:00 PST,+5.27181e+06,-9.78206e+06
2013-01-01 05:52:00 PST,+5.35575e+06,-9.86008e+06
2013-01-01 05:56:00 PST,+5.44874e+06,-9.9672e+06
2013-01-01 06:00:00 PST,+5.53947e+06,-1.00754e+07
2013-01-01 06:04:00 PST,+5.69678e+06,-1.01461e+07
2013-01-01 06:08:00 PST,+5.87251e+06,-1.02118e+07
2013-01-01 06:12:00 PST,+6.0589e+06,-1.03573e+07
2013-01-01 06:16:00 PST,+6.23049e+06,-1.05077e+07
2013-01-01 06:20:00 PST,+6.39918e+06,-1.06904e+07
2013-01-01 06:24:00 PST,+6.56543e+06,-1.08733e+07
2013-01-01 06:28:00 PST,+6.72922e+06,-1.10263e+07
2013-01-01 06:32:00 PST,+6.90071e+06,-1.11767e+07
2013-01-01 06:36:00 PST,+7.08119e+06,-1.13544e+07
2013-01-01 06:40:00 PST,+7.25786e+06,-1.15335e+07
2013-01-01 06:44:00 PST,+7.42738e+06,-1.17158e+07
2013-01-01 06:48:00 PST,+7.59619e+06,-1.1898e+07
2013-01-01 06:52:00 PST,+7.76202e+06,-1.20502e+07
2013-01-01 06:56:00 PST,+7.9341e+06,-1.22006e+07
2013-01-01 07:00:00 PST,+8.10788e+06,-1.23803e+07
2013-01-01 07:04:00 PST,+8.35867e+06,-1.25511e+07
2013-01-01 07:08:00 PST,+8.62081e+06,-1.27189e+07
2013-01-01 07:12:00 PST,+8.88494e+06,-1.28863e+07
2013-01-01 07:16:00 PST,+9.14168e+06,-1.30255e+07
2013-01-01 07:20:00 PST,+9.39222e+06,-1.31671e+07
2013-01-01 07:24:00 PST,+9.64919e+06,-1.33358e+07
2013-01-01 07:28:00 PST,+9.91292e+06,-1.35026e+07
2013-01-01 07:32:00 PST,+1.01746e+07,-1.37474e+07
2013-01-01 07:36:00 PST,+1.04354e+07,-1.39923e+07
2013-01-01 07:40:00 PST,+1.06933e+07,-1.42384e+07
2013-01-01 07:44:00 PST,+1.09517e+07,-1.44844e+07
2013-01-01 07:48:00 PST,+1.12169e+07,-1.47279e+07
2013-01-01 07:52:00 PST,+1.14821e+07,-1.49713e+07
2013-01-01 07:56:00 PST,+1.17442e+07,-1.52158e+07
2013-01-01 08:00:00 PST,+1.20016e+07,-1.54621e+07
2013-01-01 08:04:00 PST,+1.22457e+07,-1.57104e+07
2013-01-01 08:08:00 PST,+1.24983e+07,-1.59554e+07
2013-01-01 08:12:00 PST,+1.27498e+07,-1.62009e+07
2013-01-01 08:16:00 PST,+1.29952e+07,-1.64486e+07
2013-01-01 08:20:00 PST,+1.32344e+07,-1.66987e+07
2013-01-01 08:24:00 PST,+1.34761e+07,-1.69479e+07
2013-01-01 08:28:00 PST,+1.37281e+07,-1.71931e+07
2013-01-01 08:32:00 PST,+1.39806e+07,-1.74382e+07
2013-01-01 08:36:00 PST,+1.42263e+07,-1.76859e+07
2013-01-01 08:40:00 PST,+1.44659e+07,-1.79359e+07
2013-01-01 08:44:00 PST,+1.47109e+07,-1.81837e+07
2013-01-01 08:48:00 PST,+1.49641e+07,-1.84285e+07
2013-01-01 08:52:00 PST,+1.5215e+07,-1.86743e+07
2013-01-01 08:56:00 PST,+1.54591e+07,-1.89226e+07
2013-01-01 09:00:00 PST,+1.57006e+07,-1.91717e+07
2013-01-01 09:04:00 PST,+1.59249e+07,-1.9422e+07
2013-01-01 09:08:00 PST,+1.61487e+07,-1.96726e+07
2013-01-01 09:12:00 PST,+1.63752e+07,-1.99224e+07
2013-01-01 09:16:00 PST,+1.65999e+07,-2.01728e+07
2013-01-01 09:20:00 PST,+1.68248e+07,-2.0423e+07
2013-01-01 09:24:00 PST,+1.70531e+07,-2.06719e+07
2013-01-01 09:28:00 PST,+1.72751e+07,-2.09232e+07
2013-01-01 09:32:00 PST,+1.74946e+07,-2.11754e+07
2013-01-01 09:36:00 PST,+1.77203e+07,-2.14254e+07
2013-01-01 09:40:00 PST,+1.79495e+07,-2.16741e+07
2013-01-01 09:44:00 PST,+1.81786e+07,-2.19228e+07
2013-01-01 09:48:00 PST,+1.84014e+07,-2.21737e+07
2013-01-01 09:52:00 PST,+1.86186e+07,-2.24267e+07
2013-01-01 09:56:00 PST,+1.88401e+07,-2.26783e+07
2013-01-01 10:00:00 PST,+1.9071e+07,-2.29264e+07
2013-01-01 10:04:00 PST,+1.92873e+07,-2.31759e+07
2013-01-01 10:08:00 PST,+1.94965e+07,-2.3428e+07
2013-01-01 10:12:00 PST,+1.97035e+07,-2.3681e+07
2013-01-01 10:16:00 PST,+1.99067e+07,-2.39354e+07
2013-01-01 10:20:00 PST,+2.01118e+07,-2.4189e+07
2013-01-01 10:24:00 PST,+2.03221e+07,-2.44408e+07
2013-01-01 10:28:00 PST,+2.05325e+07,-2.46924e+07
2013-01-01 10:32:00 PST,+2.07429e+07,-2.49441e+07
2013-01-01 10:36:00 PST,+2.09496e+07,-2.51972e+07
2013-01-01 10:40:00 PST,+2.11515e+07,-2.5452e+07
2013-01-01 10:44:00 PST,+2.13542e+07,-2.57065e+07
2013-01-01 10:48:00 PST,+2.15645e+07,-2.59582e+07
2013-01-01 10:52:00 PST,+2.1778e+07,-2.62087e+07
2013-01-01 10:56:00 PST,+2.1987e+07,-2.64609e+07
2013-01-01 11:00:00 PST,+2.21926e+07,-2.67144e+07
2013-01-01 11:04:00 PST,+2.23793e+07,-2.69708e+07
2013-01-01 11:08:00 PST,+2.25645e+07,-2.72277e+07
2013-01-01 11:12:00 PST,+2.27538e+07,-2.7483e+07
2013-01-01 11:16:00 PST,+2.29473e+07,-2.77368e+07
2013-01-01 11:20:00 PST,+2.31422e+07,-2.79901e+07
2013-01-01 11:24:00 PST,+2.33342e+07,-2.82446e+07
2013-01-01 11:28:00 PST,+2.3525e+07,-2.84996e+07
2013-01-01 11:32:00 PST,+2.37122e+07,-2.87558e+07
2013-01-01 11:36:00 PST,+2.39e+07,-2.90116e+07
2013-01-01 11:40:00 PST,+2.40898e+07,-2.92667e+07
2013-01-01 11:44:00 PST,+2.42792e+07,-2.9522e+07
2013-01-01 11:48:00 PST,+2.44714e+07,-2.97765e+07
2013-01-01 11:52:00 PST,+2.46621e+07,-3.00315e+07
2013-01-01 11:56:00 PST,+2.4851e+07,-3.0287e+07
2013-01-01 12:00:00 PST,+2.50419e+07,-3.05418e+07
2013-01-01 12:04:00 PST,+2.52152e+07,-3.07993e+07
2013-01-01 12:08:00 PST,+2.53835e+07,-3.10586e+07
2013-01-01 12:12:00 PST,+2.55497e+07,-3.13187e+07
2013-01-01 12:16:00 PST,+2.57202e+07,-3.15772e+07
2013-01-01 12:20:00 PST,+2.58933e+07,-3.18349e+07
2013-01-01 12:24:00 PST,+2.60659e+07,-3.20927e+07
2013-01-01 12:28:00 PST,+2.62393e+07,-3.23502e+07
2013-01-01 12:32:00 PST,+2.64104e+07,-3.26085e+07
2013-01-01 12:36:00 PST,+2.65839e+07,-3.2866e+07
2013-01-01 12:40:00 PST,+2.67544e+07,-3.31246e+07
2013-01-01 12:44:00 PST,+2.69232e+07,-3.33837e+07
2013-01-01 12:48:00 PST,+2.70916e+07,-3.3643e+07
2013-01-01 12:52:00 PST,+2.72638e+07,-3.3901e+07
2013-01-01 12:56:00 PST,+2.74407e+07,-3.41573e+07
2013-01-01 13:00:00 PST,+2.76137e+07,-3.4415e+07
2013-01-01 13:04:00 PST,+2.77726e+07,-3.4675e+07
2013-01-01 13:08:00 PST,+2.79238e+07,-3.49378e+07
2013-01-01 13:12:00 PST,+2.80766e+07,-3.52e+07
2013-01-01 13:16:00 PST,+2.82296e+07,-3.54621e+07
2013-01-01 13:20:00 PST,+2.83824e+07,-3.57243e+07
2013-01-01 13:24:00 PST,+2.85383e+07,-3.59855e+07
2013-01-01 13:28:00 PST,+2.8695e+07,-3.62463e+07
2013-01-01 13:32:00 PST,+2.88552e+07,-3.65059e+07
2013-01-01 13:36:00 PST,+2.90128e+07,-3.67665e+07
2013-01-01 13:40:00 PST,+2.91674e+07,-3.70281e+07
2013-01-01 13:44:00 PST,+2.93232e+07,-3.72892e+07
2013-01-01 13:48:00 PST,+2.94767e+07,-3.75512e+07
2013-01-01 13:52:00 PST,+2.96329e+07,-3.78122e+07
2013-01-01 13:56:00 PST,+2.979e+07,-3.80728e+07
2013-01-01 14:00:00 PST,+2.9946e+07,-3.83339e+07
2013-01-01 14:04:00 PST,+3.00908e+07,-3.85963e+07
2013-01-01 14:08:00 PST,+3.02341e+07,-3.88592e+07
2013-01-01 14:12:00 PST,+3.03732e+07,-3.91236e+07
2013-01-01 14:16:00 PST,+3.05121e+07,-3.9388e+07
2013-01-01 14:20:00 PST,+3.06517e+07,-3.96521e+07
2013-01-01 14:24:00 PST,+3.07942e+07,-3.99153e+07
2013-01-01 14:28:00 PST,+3.09374e+07,-4.01782e+07
2013-01-01 14:32:00 PST,+3.10815e+07,-4.04407e+07
2013-01-01 14:36:00 PST,+3.1223e+07,-4.07042e+07
2013-01-01 14:40:00 PST,+3.13632e+07,-4.09682e+07
2013-01-01 14:44:00 PST,+3.1505e+07,-4.12317e+07
2013-01-01 14:48:00 PST,+3.16466e+07,-4.14952e+07
2013-01-01 14:52:00 PST,+3.17899e+07,-4.1758e+07
2013-01-01 14:56:00 PST,+3.1932e+07,-4.20213e+07
2013-01-01 15:00:00 PST,+3.20735e+07,-4.22848e+07
2013-01-01 15:04:00 PST,+3.2217e+07,-4.25469e+07
2013-01-01 15:08:00 PST,+3.23572e+07,-4.281e+07
2013-01-01 15:12:00 PST,+3.24986e+07,-4.30728e+07
2013-01-01 15:16:00 PST,+3.26398e+07,-4.33356e+07
2013-01-01 15:20:00 PST,+3.27804e+07,-4.35989e+07
2013-01-01 15:24:00 PST,+3.29234e+07,-4.38611e+07
2013-01-01 15:28:00 PST,+3.30658e+07,-4.41236e+07
2013-01-01 15:32:00 PST,+3.32079e+07,-4.43863e+07
2013-01-01 15:36:00 PST,+3.3348e+07,-4.46494e+07
2013-01-01 15:40:00 PST,+3.34899e+07,-4.4912e+07
2013-01-01 15:44:00 PST,+3.36316e+07,-4.51747e+07
2013-01-01 15:48:00 PST,+3.3773e+07,-4.54375e+07
2013-01-01 15:52:00 PST,+3.39142e+07,-4.57004e+07
2013-01-01 15:56:00 PST,+3.40555e+07,-4.59632e+07
2013-01-01 16:00:00 PST,+3.41976e+07,-4.62258e+07
2013-01-01 16:04:00 PST,+3.43543e+07,-4.64848e+07
2013-01-01 16:08:00 PST,+3.45182e+07,-4.67414e+07
2013-01-01 16:12:00 PST,+3.46837e+07,-4.69972e+07
2013-01-01 16:16:00 PST,+3.48479e+07,-4.72536e+07
2013-01-01 16:20:00 PST,+3.50113e+07,-4.75102e+07
2013-01-01 16:24:00 PST,+3.51731e+07,-4.77675e+07
2013-01-01 16:28:00 PST,+3.53318e+07,-4.80258e+07
2013-01-01 16:32:00 PST,+3.54906e+07,-4.8284e+07
2013-01-01 16:36:00 PST,+3.56495e+07,-4.85423e+07
2013-01-01 16:40:00 PST,+3.58128e+07,-4.87991e+07
2013-01-01 16:44:00 PST,+3.5978e+07,-4.90551e+07
2013-01-01 16:48:00 PST,+3.61451e+07,-4.93103e+07
2013-01-01 16:52:00 PST,+3.6304e+07,-4.95686e+07
2013-01-01 16:56:00 PST,+3.64625e+07,-4.98269e+07
2013-01-01 17:00:00 PST,+3.66202e+07,-5.00857e+07
2013-01-01 17:04:00 PST,+3.68096e+07,-5.03366e+07
2013-01-01 17:08:00 PST,+3.70099e+07,-5.05836e+07
2013-01-01 17:12:00 PST,+3.722e+07,-5.0827e+07
2013-01-01 17:16:00 PST,+3.74228e+07,-5.10731e+07
2013-01-01 17:20:00 PST,+3.76136e+07,-5.13235e+07
2013-01-01 17:24:00 PST,+3.78033e+07,-5.15743e+07
2013-01-01 17:28:00 PST,+3.7999e+07,-5.1823e+07
2013-01-01 17:32:00 PST,+3.82003e+07,-5.20695e+07
2013-01-01 17:36:00 PST,+3.84016e+07,-5.2316e+07
2013-01-01 17:40:00 PST,+3.85999e+07,-5.25638e+07
2013-01-01 17:44:00 PST,+3.87964e+07,-5.28122e+07
2013-01-01 17:48:00 PST,+3.89915e+07,-5.30611e+07
2013-01-01 17:52:00 PST,+3.91888e+07,-5.33091e+07
2013-01-01 17:56:00 PST,+3.93879e+07,-5.35564e+07
2013-01-01 18:00:00 PST,+3.95861e+07,-5.38041e+07
2013-01-01 18:04:00 PST,+3.9805e+07,-5.405e+07
2013-01-01 18:08:00 PST,+4.00332e+07,-5.42924e+07
2013-01-01 18:12:00 PST,+4.02637e+07,-5.4534e+07
2013-01-01 18:16:00 PST,+4.0489e+07,-5.47774e+07
2013-01-01 18:20:00 PST,+4.07093e+07,-5.50225e+07
2013-01-01 18:24:00 PST,+4.09263e+07,-5.52689e+07
2013-01-01 18:28:00 PST,+4.11519e+07,-5.55124e+07
2013-01-01 18:32:00 PST,+4.13846e+07,-5.57533e+07
2013-01-01 18:36:00 PST,+4.16136e+07,-5.59953e+07
2013-01-01 18:40:00 PST,+4.18345e+07,-5.62402e+07
2013-01-01 18:44:00 PST,+4.20533e+07,-5.64859e+07
2013-01-01 18:48:00 PST,+4.22781e+07,-5.67296e+07
2013-01-01 18:52:00 PST,+4.25076e+07,-5.69716e+07
2013-01-01 18:56:00 PST,+4.27363e+07,-5.72139e+07
2013-01-01 19:00:00 PST,+4.29602e+07,-5.74578e+07
2013-01-01 19:04:00 PST,+4.31773e+07,-5.77047e+07
2013-01-01 19:08:00 PST,+4.3397e+07,-5.79507e+07
2013-01-01 19:12:00 PST,+4.36212e+07,-5.81951e+07
2013-01-01 19:16:00 PST,+4.38468e+07,-5.84391e+07
2013-01-01 19:20:00 PST,+4.40678e+07,-5.86846e+07
2013-01-01 19:24:00 PST,+4.42862e+07,-5.89311e+07
2013-01-01 19:28:00 PST,+4.45055e+07,-5.91772e+07
2013-01-01 19:32:00 PST,+4.4727e+07,-5.94225e+07
2013-01-01 19:36:00 PST,+4.49504e+07,-5.96673e+07
2013-01-01 19:40:00 PST,+4.51744e+07,-5.99118e+07
2013-01-01 19:44:00 PST,+4.53957e+07,-6.01572e+07
2013-01-01 19:48:00 PST,+4.5615e+07,-6.04033e+07
2013-01-01 19:52:00 PST,+4.58361e+07,-6.06488e+07
2013-01-01 19:56:00 PST,+4.60591e+07,-6.08937e+07
2013-01-01 20:00:00 PST,+4.6281e+07,-6.11389e+07
2013-01-01 20:04:00 PST,+4.64907e+07,-6.13863e+07
2013-01-01 20:08:00 PST,+4.66991e+07,-6.16341e+07
2013-01-01 20:12:00 PST,+4.69051e+07,-6.18827e+07
2013-01-01 20:16:00 PST,+4.7114e+07,-6.21302e+07
2013-01-01 20:20:00 PST,+4.73231e+07,-6.23777e+07
2013-01-01 20:24:00 PST,+4.75335e+07,-6.26248e+07
2013-01-01 20:28:00 PST,+4.77437e+07,-6.2872e+07
2013-01-01 20:32:00 PST,+4.79533e+07,-6.31194e+07
2013-01-01 20:36:00 PST,+4.81602e+07,-6.33676e+07
2013-01-01 20:40:00 PST,+4.83655e+07,-6.36164e+07
2013-01-01 20:44:00 PST,+4.8575e+07,-6.38638e+07
2013-01-01 20:48:00 PST,+4.87855e+07,-6.41109e+07
2013-01-01 20:52:00 PST,+4.89964e+07,-6.43578e+07
2013-01-01 20:56:00 PST,+4.92064e+07,-6.4605e+07
2013-01-01 21:00:00 PST,+4.94102e+07,-6.48544e+07
2013-01-01 21:04:00 PST,+4.96047e+07,-6.51054e+07
2013-01-01 21:08:00 PST,+4.98024e+07,-6.53552e+07
2013-01-01 21:12:00 PST,+4.99984e+07,-6.56059e+07
2013-01-01 21:16:00 PST,+5.01963e+07,-6.58557e+07
2013-01-01 21:20:00 PST,+5.03925e+07,-6.61061e+07
2013-01-01 21:24:00 PST,+5.0581e+07,-6.63592e+07
2013-01-01 21:28:00 PST,+5.07708e+07,-6.66118e+07
2013-01-01 21:32:00 PST,+5.09621e+07,-6.68639e+07
2013-01-01 21:36:00 PST,+5.11566e+07,-6.7115e+07
2013-01-01 21:40:00 PST,+5.13549e+07,-6.73647e+07
2013-01-01 21:44:00 PST,+5.1555e+07,-6.76137e+07
2013-01-01 21:48:00 PST,+5.17495e+07,-6.78647e+07
2013-01-01 21:52:00 PST,+5.19389e+07,-6.81175e+07
2013-01-01 21:56:00 PST,+5.21277e+07,-6.83706e+07
2013-01-01 22:00:00 PST,+5.23222e+07,-6.86216e+07
2013-01-01 22:04:00 PST,+5.24962e+07,-6.8876e+07
2013-01-01 22:08:00 PST,+5.26599e+07,-6.91341e+07
2013-01-01 22:12:00 PST,+5.28204e+07,-6.93934e+07
2013-01-01 22:16:00 PST,+5.29854e+07,-6.96511e+07
2013-01-01 22:20:00 PST,+5.31512e+07,-6.99085e+07
2013-01-01 22:24:00 PST,+5.33164e+07,-7.01661e+07
2013-01-01 22:28:00 PST,+5.348e+07,-7.04241e+07
2013-01-01 22:32:00 PST,+5.36445e+07,-7.0682e+07
2013-01-01 22:36:00 PST,+5.38073e+07,-7.09405e+07
2013-01-01 22:40:00 PST,+5.39702e+07,-7.11989e+07
2013-01-01 22:44:00 PST,+5.41346e+07,-7.14568e+07
2013-01-01 22:48:00 PST,+5.42997e+07,-7.17144e+07
2013-01-01 22:52:00 PST,+5.44632e+07,-7.19726e+07
2013-01-01 22:56:00 PST,+5.4628e+07,-7.22303e+07
2013-01-01 23:00:00 PST,+5.47922e+07,-7.24881e+07
2013-01-01 23:04:00 PST,+5.49155e+07,-7.27542e+07
2013-01-01 23:08:00 PST,+5.50297e+07,-7.30234e+07
