# titanium_voltage.csv run at 2013-01-01 00:00:00 PST on 884 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
load_1_A,125.027335,-0.027246,125.026058,-0.027261,0.000000,0.000000
load_2_B,123.621400,4.146680,123.620108,4.146664,0.000000,0.000000
load_3_C,126.868047,2.034550,126.866788,2.034536,0.000000,0.000000
load_4_A,125.070111,-0.031410,125.053385,-0.031608,0.000000,0.000000
load_5_B,123.685619,4.142541,123.668709,4.142339,0.000000,0.000000
load_6_C,126.912011,2.030721,126.895525,2.030529,0.000000,0.000000
load_7_A,125.035184,-0.027198,125.034069,-0.027211,0.000000,0.000000
load_8_B,123.629274,4.146728,123.628146,4.146714,0.000000,0.000000
load_9_C,126.876003,2.034596,126.874905,2.034583,0.000000,0.000000
load_10_A,125.214170,-0.027552,125.212146,-0.027576,0.000000,0.000000
load_11_A,125.043735,-0.027181,125.042620,-0.027194,0.000000,0.000000
load_12_B,123.637793,4.146746,123.636666,4.146732,0.000000,0.000000
load_13_C,126.884480,2.034612,126.883381,2.034600,0.000000,0.000000
load_14_A,125.017449,-0.028688,125.010758,-0.028767,0.000000,0.000000
load_15_B,123.611227,4.145204,123.604461,4.145123,0.000000,0.000000
load_16_C,126.858514,2.033147,126.851919,2.033071,0.000000,0.000000
load_17_A,125.300637,-0.026965,125.299626,-0.026977,0.000000,0.000000
load_18_A,125.378177,-0.030898,125.361491,-0.031095,0.000000,0.000000
load_19_B,124.070355,4.143393,124.053496,4.143192,0.000000,0.000000
load_20_C,127.227988,2.031960,127.211542,2.031770,0.000000,0.000000
load_21_A,125.457274,-0.027148,125.456062,-0.027162,0.000000,0.000000
load_22_B,124.135430,4.147199,124.134206,4.147184,0.000000,0.000000
load_23_C,127.302601,2.035474,127.301406,2.035460,0.000000,0.000000
load_24_A,126.098914,-0.033319,126.098085,-0.033329,0.000000,0.000000
load_25_B,125.385905,4.153788,125.385072,4.153778,0.000000,0.000000
load_26_C,127.025660,2.040189,127.024837,2.040179,0.000000,0.000000
load_27_A,125.473743,-0.026856,125.472733,-0.026868,0.000000,0.000000
load_28_A,125.475149,-0.026783,125.474409,-0.026792,0.000000,0.000000
load_29_A,125.096899,-0.035981,125.063104,-0.036379,0.000000,0.000000
load_30_A,125.721016,-0.031155,125.714362,-0.031233,0.000000,0.000000
load_31_B,124.680207,4.148875,124.673498,4.148796,0.000000,0.000000
load_32_C,127.162642,2.036426,127.156063,2.036349,0.000000,0.000000
load_33_A,125.301804,-0.026893,125.301063,-0.026902,0.000000,0.000000
load_34_A,126.096037,-0.033453,126.094770,-0.033468,0.000000,0.000000
load_35_B,125.383398,4.153666,125.382125,4.153651,0.000000,0.000000
load_36_C,127.023185,2.040071,127.021927,2.040056,0.000000,0.000000
load_37_A,125.301725,-0.026894,125.300983,-0.026902,0.000000,0.000000
load_38_A,126.096511,-0.033438,126.095245,-0.033453,0.000000,0.000000
load_39_B,125.383507,4.153668,125.382234,4.153653,0.000000,0.000000
load_40_C,127.023291,2.040072,127.022034,2.040057,0.000000,0.000000
load_41_A,126.192082,-0.038206,126.181032,-0.038335,0.000000,0.000000
load_42_B,125.733419,4.153478,125.722329,4.153348,0.000000,0.000000
load_43_C,126.773023,2.039615,126.762023,2.039487,0.000000,0.000000
load_44_A,125.033695,-0.027199,125.032580,-0.027212,0.000000,0.000000
load_45_B,123.627781,4.146727,123.626653,4.146714,0.000000,0.000000
load_46_C,126.874543,2.034596,126.873444,2.034583,0.000000,0.000000
load_47_A,125.171486,-0.028505,125.165664,-0.028574,0.000000,0.000000
load_48_B,123.795751,4.145559,123.789865,4.145489,0.000000,0.000000
load_49_C,127.012422,2.033626,127.006684,2.033560,0.000000,0.000000
load_50_A,125.244691,-0.026988,125.243416,-0.027003,0.000000,0.000000
load_51_B,123.890548,4.147172,123.889260,4.147157,0.000000,0.000000
load_52_C,127.088875,2.035295,127.087618,2.035280,0.000000,0.000000
load_53_A,126.307421,-0.035722,126.306317,-0.035735,0.000000,0.000000
load_54_B,125.793290,4.155698,125.792182,4.155685,0.000000,0.000000
load_55_C,126.912636,2.041428,126.911538,2.041416,0.000000,0.000000
load_56_A,126.097250,-0.033392,126.096144,-0.033405,0.000000,0.000000
load_57_B,125.384241,4.153715,125.383129,4.153702,0.000000,0.000000
load_58_C,127.023989,2.040118,127.022892,2.040105,0.000000,0.000000
load_59_A,125.159023,-0.028619,125.153084,-0.028689,0.000000,0.000000
load_60_B,123.790402,4.145477,123.784398,4.145406,0.000000,0.000000
load_61_C,127.001541,2.033585,126.995688,2.033517,0.000000,0.000000
load_62_A,125.702503,-0.029523,125.700285,-0.029550,0.000000,0.000000
load_63_B,124.623239,4.149694,124.621002,4.149668,0.000000,0.000000
load_64_C,127.204093,2.037329,127.201901,2.037304,0.000000,0.000000
load_65_A,125.216232,-0.027349,125.214957,-0.027364,0.000000,0.000000
load_66_B,123.847946,4.146776,123.846657,4.146760,0.000000,0.000000
load_67_C,127.057828,2.034818,127.056571,2.034803,0.000000,0.000000
load_68_A,126.306497,-0.035766,126.305233,-0.035781,0.000000,0.000000
load_69_B,125.792366,4.155653,125.791096,4.155638,0.000000,0.000000
load_70_C,126.911720,2.041385,126.910461,2.041370,0.000000,0.000000
load_71_A,126.070270,-0.034677,126.064374,-0.034746,0.000000,0.000000
load_72_B,125.357209,4.152416,125.351279,4.152346,0.000000,0.000000
load_73_C,126.996832,2.038840,126.990978,2.038772,0.000000,0.000000
load_74_A,125.020393,-0.028387,125.014818,-0.028453,0.000000,0.000000
load_75_B,123.614221,4.145512,123.608584,4.145444,0.000000,0.000000
load_76_C,126.861437,2.033440,126.855942,2.033376,0.000000,0.000000
load_77_A,126.307594,-0.035720,126.306491,-0.035733,0.000000,0.000000
load_78_B,125.793459,4.155699,125.792351,4.155686,0.000000,0.000000
load_79_C,126.912803,2.041430,126.911705,2.041417,0.000000,0.000000
load_80_A,125.033411,-0.027199,125.032296,-0.027212,0.000000,0.000000
load_81_B,123.627488,4.146728,123.626361,4.146714,0.000000,0.000000
load_82_C,126.874026,2.034596,126.872927,2.034583,0.000000,0.000000
load_83_A,125.218276,-0.027308,125.217163,-0.027321,0.000000,0.000000
load_84_B,123.850501,4.146817,123.849375,4.146804,0.000000,0.000000
load_85_C,127.060270,2.034860,127.059173,2.034847,0.000000,0.000000
load_86_A,125.983528,-0.032443,125.981516,-0.032467,0.000000,0.000000
load_87_A,125.026291,-0.028235,125.021273,-0.028294,0.000000,0.000000
load_88_B,123.620156,4.145668,123.615082,4.145607,0.000000,0.000000
load_89_C,126.867239,2.033588,126.862294,2.033530,0.000000,0.000000
load_90_A,125.272063,-0.027084,125.271321,-0.027093,0.000000,0.000000
load_91_A,125.528091,-0.032349,125.511425,-0.032545,0.000000,0.000000
load_92_B,124.354359,4.144773,124.337538,4.144573,0.000000,0.000000
load_93_C,127.176658,2.032896,127.160206,2.032706,0.000000,0.000000
load_94_A,125.241962,-0.028841,125.235282,-0.028919,0.000000,0.000000
load_95_B,123.879271,4.145292,123.872519,4.145211,0.000000,0.000000
