# file...... Dishwasher_output.csv
# date...... Thu Aug 23 14:59:46 2018
# user...... alyona_slac
# host...... (null)
# target.... dishwasher 1
# trigger... (none)
# interval.. -1
# limit..... 1296020
# timestamp,total_power, total_admittance, total_current
2009-01-02 00:00:00 PST,+0+0j,+0+0j,+0+0j
2009-01-02 00:02:00 PST,+0+0j,+0.01+0j,+0+0j
2009-01-02 00:03:00 PST,+0.05+0j,+0.02+0.05j,+0.05+0j
2009-01-02 00:05:00 PST,+0.05+0j,+0.95+0j,+0+0j
2009-01-02 00:09:00 PST,+0.05+0j,+0.01+0j,+0+0j
2009-01-02 00:12:00 PST,+0+0j,+0.01+0j,+0+0j
2009-01-02 00:21:00 PST,+0.05+0j,+0.95+0j,+0+0j
2009-01-02 00:32:00 PST,+0.05+0j,+0.01+0j,+0+0j
2009-01-02 00:42:00 PST,+0+0j,+0.01+0j,+0+0j
2009-01-02 00:54:00 PST,+0+0j,+0+0j,+0+0j
